用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
605240311,JCR,5,可玩性不推荐是因为这本身就是个剧情向游戏，你真要苛求他有多紧张刺激也是为难他了。再说了，指令卡玩法放在九年前那确实是一个亮点啊，不要非得拿他和现在的流行游戏比较。<br />很多人吐槽的900石保底，哪有那么毒啊。一来，综合0.8%出率，已经比很多抽卡游戏高了，一般超过一百多才出的情况很少见，更多甚至是你抽礼装就能垫出来，如果是剧情党，那么佛系抽卡，抽到谁养谁不就好了吗；二来这个游戏没有膨胀，抽到的角色不会被刷下去，如果是厨力党，平时随便攒攒，用助战照样能玩，池子出来了抽个二宝五宝用一辈子，根本没有抽卡压力。除非你见一个爱一个，来不及抽，才会抱怨抽卡机制不好。<br />这个游戏本来就不是给你抽卡爽、战斗爽的，而是要慢慢养自己中意的角色，慢慢推剧情，涵养品行。<br />有的玩家就盯着一些自以为是的毒点不放，有没有可能是他们自己的问题？这个游戏最大的优势在于剧情。如果是真正读过书，会读书的人，看过FGO的剧情之后，就能知道近代二次元剧情的顶峰在哪里。<br />我是个萌新，现在打活动关一点压力都没有，就算别的什么关很难，打到那里的时候练度不都上来了吗。再说关卡难还不是因为某些人想要更加紧张刺激才做难的？别再讽刺挖苦了，如果耐不下性子就别玩，别尬黑了，好吗？<br />另外，我推烟雾镜，请攻击我的弱点（）,2,2025-03-02 00:38,未提供
60523115,GG高狗,5,我很喜欢这款游戏，但是我不会跟任何人推荐这款游戏，作为一款指令卡回合制游戏，它的可玩性是一般的，我已经完全把他当一个抽卡游戏来玩，抽到想要的就可以。,,2025-03-16 20:18,未提供
419842515,( ˃̶̤́ ꒳ ˂̶̤̀ ),1,喜欢我fgo求你加群，进去了以后学生管理员乱t人吗？,3,2025-03-15 02:39,华为荣耀20S
73619067,黑风岭,2,还是别玩了，快跑吧😭<br />月批续费成功😋,,2025-03-13 19:49,未提供
685037347,凛冬烈日,1,用好友快爆下过一个玩过。<br />可玩性：很有意思的卡牌机制，但关卡众多，仅有有趣无法支持腻感综合下来可玩性就一般了。<br />画面：就不多说了。<br />音乐：不开声音<br />运营服务：奖励少很肝活动也巨肝<br />成长：很肝还氪<br />其他：有ntr，茄子厨回被n。,1,2025-03-13 10:27,Vivo V2148A
490409608,HAPIXL,5,作为游戏来说就是够使，作为剧情小说来说二游无出其右,,2025-03-12 01:25,未提供
671166376,多半是凉了,5,（个人观点）首先，我入坑没多久，给五星是因为我推在里面。第一个号实在太非就换了另一个号，先不说刚玩不到一周第一次付费十连出了两个5，我也是第一次看到这么多有高光的角色，（简直是满屏的我推，我也是第一次在一个游戏里找到这么多推）但是有的角色画风真的很奇怪<br />，画风，剧情，简直是优秀，我第一次对一个游戏这么着迷，放假时每天不是打游戏就是看fate系列，角色人设更不用说了，但是抽卡机制有点难受，我不是氪佬，除了签到，剧情打完了如果不氪金可能没什么石头<br />就是打起来有点无聊，很多时候都是直接睡死，真的没夸张，而且关卡太多了，嗯。。建模说实话就没什么亮点，技能也是有的特别炫酷有的有点搞笑，玩法实在是太无聊了…我实在肝不起，又入坑晚…<br />但是真心喜欢上了fate，这条路可能会走很久很久，另外，祝欧呀各位，我先去肝石头了<br />二编：现在已经打完所有主线了，期待更新捏,36,2024-11-25 16:14,未提供
51899360,河原木桃香,5,我们fgo太好玩了😊,,2025-03-11 15:42,Vivo V2314A
354880626,不见,3,抽卡不太行欧的时候真欧非得时候真非,,2025-03-11 02:12,Vivo V2314DA
8061837,Rin,3,神人游戏，不好玩，最烂的抽卡体验，但是就是让你反复下载，你但凡喜欢上这游戏的角色了就别想跑了，超越死亡的恐惧，逃得掉吗？😅,1,2025-03-10 02:45,联想Legion Tab
604283463,Имя,2,不知道有什么好玩的，游戏时根本不知道在干什么，虽然随便点都能赢，抽奖也离谱根本得不到好东西，还得不到抽奖道具，加载界面也是半天才加载完，还频繁,1,2025-03-09 13:58,未提供
645373859,拟道,5,如果当时我要是找到这款游戏，我就不会去玩幻塔的,1,2025-03-08 00:00,Vivo V2343A
343503479,冬夜苍白,5,画面精美，故事情节也挺有趣的，挺好玩的。,1,2025-03-07 21:58,未提供
520117038,给yes！,5,吾主阿爾托莉婭！！！！！！<br />豪丸！就是肝有点难受🤓,2,2025-03-07 19:57,华为P30 Pro
707243544,纵横无敌,5,老月球人了，必须给5星好评！！<br />不过最近日服感觉比较摆烂，节奏一大堆。。。加把劲啊叶良树！另外蘑菇啥时候能魔夜2把给我吐出来，加速加速求求了。,1,2025-03-07 11:54,未提供
444181,FFF骑士,5,虽然5星，但完全不推荐，很老的游戏了，佛系玩还好，很休闲，整体来说就是比较单调的养成，然后看看剧情，刷刷活动，全靠爱发电，反正这么多年属于目标用户的基本都入坑过了，除非极少数接触的晚的新人，我现在还在玩也就是等着看它关服了，最紧张刺激的抽卡方面都没激情了，现在动不动攒石大半年的，一年就下一两次卡池，一般的卡没什么兴趣，也没有提升，至于老生常谈的千石一宝我就不多赘述了，属于游戏特色不得不品，也是游戏唯一可以说大坑的地方，还有一点复刻周期太长其实也是大坑，但毕竟没什么新玩家，对老登影响小，总之还是不推荐，除非你真的非常有爱，只要看着纸片人就可以玩下去,10,2021-07-28 10:01,未提供
593852046,电竞不败曙光,1,为啥卸载过要重新玩了呢,,2025-03-05 22:19,华为ADY-AL10
523688245,collan,3,鼠鼠9周年的操作过于恶心，但玩了米之后，我觉得鼠鼠也不是不能原谅了。<br />fgo里的美少女是真可爱啊，90%都想抽，米游里女的不强手感不好压根没抽的欲望。而且对话文本写得比米强多，就是原汁原味的日式二次元味,2,2025-03-05 10:32,荣耀 50
454911547,九龙,3,这游戏我也玩了三四年了，你要硬夸的话也只有剧情了，也有很多暴雷的地方，说实话真正还在坚持玩这游戏的玩家，很少很少了，大多数人都只是把它放在仓库里面，很少打开，三星给的是情怀，致敬的是我的青春，他的玩法太单调了，完全比不上现在主流游戏，激烈的指令卡战斗，还不能自动战斗，发完这条动态，就准备彻底退坑了,,2025-03-02 11:13,未提供
547811740,禁与恋,5,这游戏不知道为什么有种魔力，总是让人忍不住删了又下下了又删，第一个号是开服的，后面换手机，换手机号，重新注册了五六个账号吧，但是一直再坚持我也不知道为什么π_π,,2025-03-01 12:30,Vivo IQOO 12 Pro
73526197,冯七,1,纯勾史游戏，没见过一个抽卡游戏的副本打到2.5.2就能这么恶心人的，又锁助战又锁首发，完了boss动不动就给你安排个几十万二三管血加毅力加自动回复，关卡设计出来就是为了恶心玩家，纯属为了难而难，这就是霓虹的蒸蒸日上啊😆,3,2025-03-01 11:46,Honor 70
55468855,洋葱骑士,4,真实里面离离去去去去离离，反反复复的回坑，好歹抽到了兽尼和提妈，结果汇呆沉了，希望今年能有狗运😅,,2025-02-26 14:56,Redmi  K70 Pro
397104584,落叶听枫,5,大概七八年前有一款画风特别类似的游戏但是玩法是战旗类型的然后给角色升级的道具是金苹果和银苹果有没有知道是什么游戏的🙏,,2025-02-26 04:01,Vivo V2111A
538610672,我不迪奥你啊,5,刷本过程中刷着刷着就睡觉了的游戏，剧情很好，角色也好看,2,2025-02-25 16:25,OPPO Reno13
496358679,陆泽,1,账号注销后再重新注册注册不了,,2025-02-22 21:45,华为ADA-AL00
45933084,夏夜,2,反复下载不是因为好玩，最近真的很需要助眠，关灯刷本十分钟内必会睡觉的游戏，强推,4,2025-02-20 01:30,未提供
15625938,黑与蓝的交响曲,4,这游戏我能玩到现在，纯粹是因为邮箱里会长圣晶石。,6,2025-02-17 09:55,未提供
332789626,鬼知道为什么起这个名字,4,我上辈子一定是造大孽了，这辈子才当月丑😭<br />战斗系统<br />高情商：紧张刺激的指令卡战斗<br />真心话：💩中💩的战斗<br />游戏剧情<br />完全看谁写的，蘑菇自己写的就很好，樱井光写的就难绷。<br />抽卡<br />💩中💩中💩中💩，千石一宝不是笑话，因为我个人就经历了几次<br />玩了6年了，一分给情怀，一分给剧情，一分给吾王和游戏内的其他角色，一分给音乐，就这样吧。<br />最后，我还是想说：我上辈子一定是造大孽了，这辈子才当月丑😭,5,2025-02-15 18:57,未提供
14108693,憨货一个,5,没有玩法，纯粹无聊，文字小说，能接受就玩，但我直接放养这个游戏了，因为国服会和谐，还是去日服台服这种，玩吧，不然迟早被恶心到,2,2025-02-15 00:32,Redmi Note 12 Turbo
331377813,哟哟哟，摇摆哥,3,总而言之，又肝又氪，后期彻底咸鱼,2,2025-02-14 14:11,Vivo IQOO 13
389055311,凌歌,5,666破游戏给我下毒了 删了之后看别人玩了又想下回来 下回来了感觉没意思又删了😡😡😡要不是因为吾王我才不会碰fgo一下😡😡😡<br />🃏抽卡体验：<br />纯纯✓石啊要么大保底要么一发十连出一个五星和四星<br />纯纯把我当joker玩😭,1,2025-02-12 22:29,华为荣耀8X
17602570,罗马的石头,5,这游戏有毒，我又回来了。<br />记不清是因为什么，可能就是没别的游戏玩了，就想着下回来再玩玩，然后就一直没再删了，只不过上线时间不确定，活动也佛系了，真需要刷的时候就去模拟器。<br />回归这么多天记忆最深的是宇宙凛卡池刚开的时候，满宝抽了18单。凛果然是榨干钱包的存在😂后来基本就只用免费石头以及抽福袋了。人到中年，花钱的地方多，不能像以前那样叮一下一单出去了。不过好在喜欢的从者也慢慢集齐了。<br />最后晒下box吧，16年入坑到现在也快10年了，纪念一下这段青春。<br />------------这是原评价的分割线------------------------<br />ios两年多硕士（master），弃坑好久了，没想到***的生命力这么顽强。弃坑原因就是太肝了，都影响生活和工作了，而且很多时候肝的毫无意义，就不能学学隔壁的扫荡券吗？代练全是科技，感觉官方也睁一只眼闭一只眼。记忆里的，伯爵满杯，祈荒满杯，红A 小次郎 90。扣一星是抽卡经常心态爆炸，比如五单出一个大帝，四单出一个式姐（小号单抽出），两单出一个布姐，另外当时C师匠想回归，一单多啥也没有，直接心态爆炸，再也不想见。但说实话有时也总会思念box里的大家，今年有点想买iphone12的其中一个原因就是想回去看看我的英灵们，伯爵，祈荒，式姐，布姐，师匠，红A，老福，黑皮，小太阳，拉二，大帝，孔明，梅林，棉被，狐狸，黄毛，小恩........,42,2025-02-12 10:19,未提供
17999139,仙路尽头谁为峰，一遇小雨道成空,5,这游戏抽卡界面硬伤啊,,2025-02-10 23:14,红魔9S Pro+
24972452,ATT,1,这个游戏太消耗热情了，别的游戏越玩越有感情，FGO是真的越玩越觉得没意思,3,2025-02-10 20:06,未提供
447727537,绍江,3,（缺点评价在后面，想看直接跳过这一段）说实话，这个游戏还是入坑半年，退坑一年再回才有意思，这是我在去年回坑时给的，不光有100多的石头，还有很多宝具以及2000多的叶子，也可以看到图片上我兑换的那些4里英灵，这次回归给了我将近60的石头，第3张图片是我今年第4次回坑的第1发10连，可能是我运气较欧，看其他评论，看来大家和我一样都对这款游戏有点感到疲惫了，之所以反复回坑，是因为比较喜欢fate的衍生作品，其实除了fgo，fate还有其他的衍生作品，我记得有一款（我忘了名字了），那个游戏是类似于横版格斗游戏， Steam电脑上可以下，接下来我不多说废话了，说一下他的优缺点，以及为什么大部分玩家感觉无聊，不值得入坑了<br />缺点一，福利方面：<br />新手入坑打完第1张主线会有自选的一个五星，然后你就可以看到，对，新手入坑基本就没有其他福利了，除非是搞活动，记得之前好像是因为下载量达到了一定程度，官方致谢，送了自选四星英灵，一般平常的活动送的东西并不多，打主线、活动顶多就送一星英灵或者是三星英灵，所以我才说这游戏就是入坑半年，再退一年回坑玩，才有意思，毕竟官方送的东西会存邮箱里面，可能还有其他福利，只不过我不知道而已，反正我玩收到的官方福利就只有这些<br />缺点二，玩法单一，可玩性太差，角色升级材料到后期较难以获得（包括主要肝的地方）<br />（1）搞了一些活动，也基本没有什么玩法上的创新，玩太久确实让人感到很无聊<br />（2）fgo为什么肝？<br />这里面的大部分角色升级素材都是需要打关卡的，这也是最肝的地方，或许前期还好，后期怪物数值堆起来，五星角色升级到90级想要往上升级就需要一个圣杯，圣杯打完一章主线才给一个，一张主线至少十五个关卡，你若是要包括一个关卡里面包含的小章节的话，怎么着也得打30关以上，或者是把活动打完了给一个圣杯（活动感觉还好，虽然也有点长，但是好就好在剧情可以跳过，还可以体验角色，没有打主线那么坐牢）一个关卡打十几分钟，获得2个纯净模棱至少要打两个关卡，其实两个还算好，大部分基本要打三四个，一个多小时就光盯着屏幕，发一下指令，这才是让人感到无聊的开端，打完主线一小节给的奖励简直少的可怜，角色主要用的升级材料，花一小时以上打完的关卡就给了，两个5星的火种，再加上2个纯净模棱（作者已被气笑）［这里给萌新说一下纯净模棱可以兑换什么哈，五星角色升级到40级就得进阶，大概升级到80级要进阶到90级，就得大概需要10个以上的金棋子+其他金色再临素材，两个纯净模棱就只能兑换一种金色再临素材，这个再临素材当然可以通过主线、每日签到、每日任务、活动兑换获得，但是奖励基本都是随机的，有时候花半个小时打完一关还刷不到想要的， fgo你要不要看看自己招不招笑，就更别说角色的技能升级，宝具升级之类的，都得是打这些又臭又长的关卡，说起来都感觉到一阵无力］或许抽到新的角色，欣赏一下新的动作以及角色语音还能有点意思，但是也不可能每次都抽到新的角色，平民玩家一些角色基本都要用到很久，长期下来都审美疲劳了，战斗当然是可以加倍速的，但是只能调二倍速，不能跳过，宝具动画不知道能不能跳过，可能是我在设置里面没找到<br />而且那个打完主线给的圣晶石也是特别招笑哈，你打完一个主线差不多就只能给你，顶多50个圣晶石，若是你再领一下奖励的话，或许能再多一点，就算他是60个圣晶石吧，60个圣晶石就相当于是12抽，顶多就12抽，若是运气差点的话，你12抽全出的是宝具和三星英灵。<br />缺点三：剧情方面<br />主线剧情比较拖沓，我入坑的那一阵，画面是不能动的，可能是我懒得看剧情，大部分都跳过，没注意到画面能动，现在这一点好像是优化了，主线剧情我就看了前三章，而且主线剧情角色没有语音包<br />优点一：角色立绘，局内语音，局内动作，角色宝具动画，局后结算<br />说游戏不吐槽美工组，上面说的这些优点方面，都是挺不错的，而且我新抽到的这个新角色，她的宝具居然还有一个隐藏款，还挺有意思的，而且恶魔状态和天使状态的局内攻击动作都不一样，释放技能的动作也有点不同。<br />优点二： fgo长时间挂后台，从后台进入，不用重新登录，方便打差评<br />其实我感觉， fgo若是再不多增加玩法，增加福利的话，恐怕我个人认为三星都评不上了。,1,2025-02-09 19:45,Vivo V2068A
410956642,藤丸立香,5,紧张刺激的卡牌对战手游👍👍👍,2,2025-02-08 15:43,未提供
97101136,沐瑾,1,这游戏能好玩就有问题了，玩的想睡觉，纯浪费时间。😅,2,2025-02-06 00:00,未提供
38015989,AlisaSchwarzer,5,模拟器，bbchannel，一根烟挂机一天<br />本质是个不断更新的单机游戏，好处就是真的不用氪金，自从发现了外挂后，千里眼攒石，只抽自己喜欢的角色，我肉眼可见的开心了起来，强度焦虑不复存在，fgo就是世界上最豪丸的手游😋,2,2025-02-04 21:29,Realme真我GT Neo6 SE
59271931,IIIllIllIIlIll,2,七八年了，能不能升级一下游戏啊，是没赚到钱吗，实在不行出个fgo2也行啊,4,2025-02-03 15:25,未提供
59320040,Luke0346,1,我一定是上辈子作恶太多才玩这游戏还给这游戏充钱。<br />💃🏻立绘建模：<br />好，有小部分不行。<br />🧝🏻‍♀️角色人设：<br />好，但作者会犯病，有时候恶心你一下。<br />🃏抽卡体验：<br />💩，我之前转生日服不是因为和谐问题，而是因为玩了日服后发现日服出货率比国服高，要玩也别玩国服，当然这是我个人体验。<br />🔖运营服务：<br />没怎么了解过，但好像不是很好的样子。<br />✍🏻建议：<br />没啥好说的，祝你游蒸蒸日上吧，要是能退钱就更好了。,9,2025-01-08 08:00,未提供
34534167,待雨停,2,游戏入坑难，战斗速度劝退，游戏关卡ui分布不利于新手理解<br />剧情优秀。入坑三次依旧退坑。<br />希望游戏赶紧凉，这样我们就能玩3d版，优化良好的fate了😊,2,2025-01-23 20:57,未提供
569184100,呜呜呜呜呜呜,4,抽卡能不能定个角色啊😭,,2025-01-27 16:03,华为P30 Pro
110546037,镜花水月梦,3,真的不能出扫荡功能吗？,1,2025-01-27 13:03,Blackshark SHARK KSR-A0
552319366,到此为止,3,有点难玩儿，后续感觉像坐牢，玩着玩着容易睡着，失眠患者可以尝试。,1,2025-01-24 22:44,Realme V30
438727019,Fzy,1,虽然剧情还不错，但是可玩性过低。,,2025-01-23 15:56,Vivo IQOO Neo5S
353810591,安静,1,没强卡连玩游戏的资格都没有，这就是我们爱抚奇欧😁,,2025-01-23 00:39,未提供
35065257,画,4,喜欢紧张刺激的指令卡战斗吗,4,2025-01-21 22:00,Realme GT Neo5 SE
5127824,Eiste,1,十年前的游戏罢，648 开创者。曾经有多喜欢现在就有多厌恶,1,2025-01-20 08:55,未提供
7264545,ahan,1,只能说又肝又氪，肝到极致，氪到极致，你玩破解版忙一辈子都忙不完,2,2024-08-13 01:06,未提供
523247059,lingorm,5,太喜欢了，去年入坑的，玩了很久了,,2025-01-19 08:23,小米Xiaomi 12X
434981419,名冠长安城,5,剧情神鬼二象性，神的时候很神（我觉得2.6无敌），鬼的时候也很变态（比如说1.2布狄卡和尼禄和解），肝度还可以，氪度要么不氪，要么微氪买福袋，要么就是你家里有矿，卡池爆率神鬼二象性，欧的时候可能单发出奇迹，非的时候攒一千颗石头吧（感觉日服比国服爆率高一点）本来想给四星的，但是作为五年玩家的小月厨，出于私心给个五星,,2024-11-29 11:46,华为BON-AL00
490032886,혼자 살,5,有没有游戏群啊，急,,2025-01-17 19:28,Vivo V2134A
31077648,虫虫,3,已退坑，对新玩家不友好,,2025-01-16 14:14,Vivo V2048A
28354683,夜仔,4,哭死…日服我已经丢两个号了，被迫来国服玩玩…我朋友劝我不玩国服…但是我日服已经懒得肝了……,,2025-01-15 18:24,未提供
323722786,内鬼,2,中登玩家出来评价一下这款玩了最久的游戏（为什么不叫老登，是因为不是开服元老实在不敢说自己老登）。<br />如果你是喜欢二游屯材料养成、堆爆发的选手，那么这款游戏很适合你，理由如下：<br />1，每年都会有无限池给你刷，理论上来说能刷无限多的材料（只要你的体力苹果够多），而除了最新章节的某些角色需要一些最新的材料外，刷一次无限池，屯到的那些材料基本都够你养很多很多角色了<br />2，这款游戏堆爆发真的很有意思，一个核心输出加上四五个辅助角色，加各种伤害加成上去，一招秒boss的感觉还是很爽的<br />3，大招动画还行，就是有点浪费时间，食之无味弃之可惜<br />4，虽然在挖完了矿的日常情况下，每周都不能凑到一发十连，但是如果你是新人入坑，你能拿到的石头是海量的，不说别的，之前我退坑半年，回来一看，哦，出了新的新人奖励，老玩家直接能一次性领完，我就这么领了一百多抽……这也导致了几乎所有的玩家，都能获得很多五星角色，比如我，只充过一次518，518甚至都没有一百抽，我却有着三十个左右的五星角色，其中还不乏多宝的，如果你是屯屯鼠，ok，石头能屯到一个很离谱的地步<br />好了，推荐的理由说完，接着说一下不推荐的理由：<br />1，主线又臭又长，不是对fate系列很热爱的人，推主线应该会很痛苦，我前期借各种大佬的助战，加上自己的满级爆发输出，就这样每个章节主线，在直接跳过剧情的情况下，都要推两天左右，你可以想想有多臭多长，这里面也有一部分原因是一些关卡的怪设计得很恶心，你得看wiki里的关卡详情去找克制手段，还要花上一些时间来研究（研究出来的技巧基本不会有用上第二次的机会，纯纯浪费时间）。<br />而如果你是喜欢看剧情的选手，那么好，一个章节能花你一周左右吧，因为第一部我就是逐句看过去的……第二部受不了了才跳过剧情<br />2，没有扫荡是真的差评啊啊啊，你知道同时玩多个游戏的玩家，每天想到要登录fgo去打那一把一两分钟的无聊到爆的日常本，还要花完一百多体力是什么感觉吗？<br />不过现在能把体力换成苹果了，还算好评，但是刷无限池的时候你还是会感受到无尽的痛苦，更何况现在的无限池，已经有了那种大部分人都不能稳定3t的了，能稳定3t的情况下还能靠连点器应付一下（但是调试连点器容错率也是一件很痛苦的事情），不能稳定3t的情况下，只能手刷了，那个效率，呵呵^_^<br />3，我现在退坑了，我退坑的理由是……爆率，但不是因为爆率低，没错，你没听错，我不怪爆率低，而是因为我之前玩了两年，每次活动都是第一时间肝完，无限池也搬空苹果，也对照着日服去规划接下来一年安排，结果那两年，基本没抽出过up，<br />有一次我退坑半年，然后回坑一天，领一百多抽的石头抽up，一发十连就出了，<br />当时给我看愣了，我想着是不是之前的一个猜想是真的，于是<br />又退坑了半月，回坑抽新up，又出了，<br />接下来，我就这么退坑着，把连续半年的up角色全抽到了，这仅仅花了我不到三百抽<br />你说离不离谱？<br />这也说明，我的那个猜想，很有可能是真的。<br />可能是因为太肝了，所以爆率看起来会很低，一旦退坑了，爆率就会上升，是不是觉得很经典？（因为很多二游都是这种策略啊啊啊！）于是我就彻底退坑了，想着既然这样，那我什么时候回来玩，都差不多了，出了我喜欢的角色在回来抽抽就好了。<br />如果你看到这里，我很感谢你能看完一个普通玩家的冗长独白，谢谢你，陌生人，这个游戏我还是很喜欢的，因为我付出了很多，它也陪伴我度过了漫长的时光，对我来说是一款很特别的、很有意义的游戏，我打两星，是因为想给那些尝试入坑的玩家一个心理准备，如果你想要玩这款游戏，那么你要做好经历各种痛苦的心理准备。<br />再会，陌生人,88,2025-01-15 07:04,OnePlus Ace 2
451849444,天夜,5,我觉得这个游戏值得体验。超级超级好，已经玩了14天了，给了四个金，可能是因为新手期吧给的多，也挺好。我希望这游戏可以越来越好吧。。。哈哈。,,2025-01-14 23:25,OPPO Reno9 Pro 5G
563752886,威猛先生杰哥,3,豪玩，紧张刺激的卡牌指令游戏治好了我的失眠🤓🤓,3,2025-01-12 23:24,未提供
361901999,べ曉寳^ō^,1,这既是依托，你爸我千石一宝，福袋还次次读心，必出大雷,1,2025-01-12 18:42,小米Xiaomi Pad 5 Pro
117746570,沫墨酱,4,不太建议入坑，首先阿b干的事，其次fate系列想补比较困难,,2025-01-11 16:56,未提供
46875669,小丁,1,剧情丰富精彩：游戏继承了Fate系列的宏大世界观和深厚剧情底蕴，通过大量精心编写的文本，讲述了跨越不同时代和地域的冒险故事。在探索主线剧情的过程中，能够深入了解各个从者背后的故事，以及他们与御主之间的情感纽带，仿佛置身于一个充满奇幻色彩和英雄传说的史诗世界中。<br />角色塑造鲜明：从者形象各具特色，不仅有经典的英灵角色如阿尔托莉雅、吉尔伽美什等，还有许多新创作的从者，他们拥有独特的性格、外貌和技能。从傲娇的saber，到优雅的archer，再到神秘的caster，每一个从者都留下了深刻的印象，愿意深入了解并培养他们。<br />玩法多样有趣：游戏的战斗系统融合了卡牌收集与养成、策略搭配以及即时操作等元素。需要合理搭配从者和指令卡，根据敌人的特点制定战术，同时在战斗中把握时机释放宝具，这使得战斗过程充满了策略性和趣味性。此外，还有各种活动副本、限时任务等，提供了丰富的玩法体验。<br />画面与音乐出色：游戏的画面精美细腻，从者的立绘、战斗特效以及场景设计都极具艺术感，能够给玩家带来视觉上的享受。音乐方面也是一大亮点，由多位知名音乐人创作的配乐，风格多样且与剧情紧密结合，时而激昂振奋，时而悠扬动听，为游戏营造了浓厚的氛围，增强了沉浸感。<br />氪金压力较大：作为一款免费游戏，FGO的抽卡机制对于非氪金玩家而言较为不友好。想要获取强力的从者和礼装，往往需要投入大量的时间和金钱。对于一些追求完整体验和快速提升实力的玩家来说，可能会面临较大的氪金压力，这也导致部分玩家在游戏后期可能会因为资源不足而感到力不从心。<br />游戏节奏较慢：游戏的剧情推进相对较慢，主线任务的完成需要消耗大量的时间和精力，而且在一些剧情环节中，玩家需要阅读大量的文本，对于部分追求快节奏游戏体验的玩家来说，可能会觉得有些拖沓。此外，从者养成也需要花费较长的时间，从者等级提升、技能强化以及宝具升级等都需要积累大量的材料和经验，这在一定程度上影响了游戏的节奏。<br />FGO是一款在剧情、角色、玩法、画面和音乐等方面都表现出色的游戏，提供了丰富而精彩的冒险体验。😂,7,2025-01-11 13:16,Redmi Note 12 Turbo
83227487,手机用户83227487,5,16年入坑 断断续退坑回坑 这么多年 还得是bgo玩的得劲😰,1,2025-01-09 21:31,华硕ROG Phone 9 Pro
21584966,melody,4,宣传图集里面的“激烈的指令卡式战斗”真是看一次笑一次（现在变成“紧张刺激的指令卡式对战”了）<br />剧情大部分都蛮好的，确实是人类的勇气与爱的赞歌，各种风格各个国家各种传说神话故事鬼故事都市传说都有，美术时好时差吧，有些蛮逆天的<br />养成很简单，突破！升级！突破！升级！升技能！升装备！抽重复角色大招强化！没了，比起一些花里胡哨的二游入门难度低的多，养成也没那么难那么长，就是没得扫荡之类的，要刷材料只能坐牢式打,32,2025-01-03 14:40,未提供
35258437,窗笼之耳,4,目前UI和很多立绘画风都挺复古和模糊了。感觉有必要进行重置，那样可能会吸引更多的人来玩。不过就日本游戏那副德行，估计到死为止都不会重置吧😆,,2025-01-08 11:42,Vivo V2314A
337345479,睡觉教教主,5,失眠必玩，不过剧情还是不错的,,2025-01-07 16:21,未提供
681140376,雪月妖姬,3,也就这样！多少战力打多少怪,,2025-01-06 19:21,Honor V40 Lite
