用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
651021921,没有,2,这游戏玩起来手机发烫，加载还麻烦还要下载地图慢死了还要分区才可以加好友😅,,2025-04-02 23:05,Vivo V2054A
648146924,沐汐,1,看到这个游戏一点没变，我也是放心了。,1,2025-04-02 22:17,OPPO K11 5G
28038248,落花人独立,4,开服玩家，镜天阁退游，听说现在已经是赛博大宋了，策划脑子里装的啥，武侠游戏非弄点机甲，听说还有喜羊羊，总之，牛逼,2,2025-04-02 21:20,Redmi K70 Ultra
19277127,一只小萌宝,5,玩了几个小时 感觉不怎么好玩 一般吧,5,2024-05-12 19:25,未提供
329048688,莳約,5,自由度高<br />跑跳飞很灵活，世界有很多NPC可以聊天，也可以自己捏NPC（门客），并且为门客换上自己有的衣服。<br />副本不打没事，竞技不打也没事，探索不弄更没事，如果你有很多时间，肝肝也行，送的东西不会影响什么，（寒子开服六百多天，箱子有点多，慢慢肝没时间限制）<br />社恐也没关系，各种玩法都有单机玩法，还有ai队友。<br />庄园很自由，摆件有付费的，但是摆件太多了，付费的算不上什么（顶奢那棵树除外）。<br />时装，喜欢古风的有福，有很多免费和低价的古风衣服。喜欢现代的也有福，寒子出的比较多。<br />福利<br />大神上也时不时有活动送卷，游戏内正常玩的话一个月180限定纹玉，除了顶奢基本上都能瞟到，2880时装最便宜是两张1000卷叠加，680时装最便宜是500和150，280最便宜是150和60。（所以啥时候在送大鹅的卷呀😔😔）<br />2880直售时装，去年周年庆和今年新年的时候，送了自选。<br />舞蹈，舞蹈全是免费的<br />音乐，音乐有需要付费<br />宠物，野外抓的可以生出好看的，或者用铜币买<br />时装盒子，铜币可以攒到<br />小游戏，轮流替换，最近上了个大厅<br />剧组，可以编辑你想要的剧情。<br />染色道具，可以慢慢攒<br />手游和端游不互通，但是手游可以用电脑玩的手游模拟器。<br />更新下时长，中间删过几天，去别处下载，好像没记录上，好像又记录上了少部分。<br />（特别喜欢这个游戏，希望它能越来越好）<br />始于大宋映画，终于，应该不会终于，它给我留下更多的是美好快乐的记忆<br />图片画质不是游戏的画质，是我手机的画质<br />关于天赏<br />本人没追求，五羊保底有个白发，坐骑送的也够用，买的那两个蓝团也没咋用过，有漂到的轻功，远的传送，近的飞。<br />转盘，贵，没抽过，,,2023-06-13 16:34,华为 Mate40 Pro
548921135,啊哈哈,1,自由度不错但是抽卡和玩的游戏体验极差,,2025-04-02 10:19,未提供
416181514,默无泪,1,匹配机制做的一坨，都是队排的韭菜好吧。ch你自己吃吃自己拉的行吗？,,2025-04-01 19:36,Huawei Mate 60 Pro
681841696,言綦,4,最近上线都没有声音,,2025-04-01 19:15,HONOR 100 Pro
664186193,T.,1,动不动就卡退,,2025-04-01 18:55,iPad mini (6th generation)
607571155,碎梦,3,渠道服玩的<br />第一：衣服来来回回也就那几个样吧<br />第二：玩法少，太孤狼了<br />第三：不同的设备有很多不同的东西,,2025-04-01 08:39,未提供
103570918,一三五七,5,天赏补药保底啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊<br />🧗自由度：高<br />你可以钓鱼采摘建庄园，可以调戏npc，甚至路过壮的人都能触发奇遇，我现在是个休闲党，不搞战力，满地图捡垃圾。<br />🏹代入感：<br />略为一般，主要是剧情里的“我”看着真的就是一个傻白甜的热血上头小青年，就就就——不做过多的评价。<br />🎣交互丰富度：<br />可以，希望出更多的侠缘玩法！<br />⚔️世界观：<br />就是古代的宋朝，由于不是历史向或者纪实游戏所以对细节方面本人不做评价。<br />🎮可玩性：<br />是蛮高的，玩法也蛮多。<br />副本党去打副本，社恐也可以去打单人副本。<br />竞技党可以去打三三，或者1212。<br />喜欢搞基建的，可以玩庄园。<br />想调C NPC的可以满大街去找NPC 。<br />……等等等等。<br />🔖运营服务：<br />没的说，毕竟送还是送的蛮多的。<br />总结一下各方面都ok，要是能改善一下闪退问题就更好了<br />逆子，补药再配饰进转盘了啊啊啊,12,2023-08-18 14:08,Vivo V2429A
596758123,我愿用室友十年单身换我十连出金,1,被会呼吸的世界骗过来的，大世界确实有，但是很边缘。其实还是老一套的帮派、装备、独珍、皮肤，过一两周装备就基本不能用了，完全不用考虑回坑，玩起来非常累。,,2025-04-01 00:16,iPhone 11
643958820,人间失智,5,回坑，听说大学生送月卡了,1,2025-03-31 19:11,Vivo S19 Pro
628596855,大甜甜,2,准备入坑 有没有玩过的客观评价一下  顺便滴个一起丸的🙋,,2025-03-31 12:32,未提供
541289584,六闪,4,贫民党可玩，外观很便宜，衣柜满满。我只喜欢开服的前几个地图有活人味是真的会呼吸的江湖。后面变成赛博大宋了，看到地图莫名烦躁就退游了，但是衣服很便宜我还是会上线买给孩子换换装就下了。<br />我的体验感不是很好，我喜欢古风多的，侠情肝胆，从东极海和镜天阁开始我就烦了，到了永夜星都我就忍不了了。到后面一直没有等到妈生江湖很失望了去了隔壁新出的游戏。<br />游戏是好的，只是不是我想要的江湖。不喜欢花里胡哨的机甲，光效天空，单一的天气，但我记得刚开始真的很好玩。<br />谢谢门客功能，我觉得这个是最伟大的发明。,33,2025-03-31 04:08,未提供
377578491,冷玥o花祭oO,2,我也是醉了，公测就开始玩了，后面半A状态，现在是彻底A了。<br />这游戏确实想夸一下，又夸不下嘴。<br />那么多时装，竟然没有一套是令我满意的(买不起的不算)，宁愿玩2D都比这香是什么情况？<br />那么多坐骑，竟然没有一只是令我喜欢的(买不起的不算，另外上个赛季看着还不错的狼因为A了前半个赛季的缘故没有领到)<br />什么宠物、侠缘、门派各种，还有那个可以召唤出来的角色什么的，都像半成品，浪费时间一样。<br />这个赛季的时装坐骑巨丑，没有半点氪和肝的欲望。游戏荒，换了好几个游戏都懒得打开逆水寒了。<br />所以，弃坑了。,4,2025-03-31 00:25,小米Mi 11
679868647,2,4,漂亮😍😍,1,2025-03-30 21:14,OPPO A93 5G
634015951,风纥,4,江湖不似我来时,1,2025-03-30 20:18,未提供
707034235,逆子,1,垃圾游戏，全是白闪闪，滚吧,,2025-03-30 18:01,Vivo IQOO 13
14091611,椛嬅,3,开服玩家已卖号退游，越玩越无聊越玩越难受,,2025-03-30 17:42,小米Xiaomi Pad 6 Pro
633401572,随便取个名,2,刚开服青白蛇服装就想进转盘，那个时候玩家体量大试探失败保证服装直售，结果今年过年流水下滑，卷土重来把水母套塞转盘又被玩家怼回去了，本以为能消停一会儿结果还不到一个月，仙逆联动又又又把特效拆出来要800块钱抽共鸣，一次一次的试探玩家的底线😅还有，去年出的育宠挺火的，然后他们就开始动歪心思了，几个月下来肉眼可见的繁育越来越容易歪，甚至还会掉特效和眼睛颜色，这种残次品宠物放在集市上卖都卖不掉直接打水漂了😅而官方始终不公布繁育遗传相关的概率，有没有调概率你们自己心里清楚😐现在我已经不敢在你游一分钱了，你永远不知道下一秒官方会不会做出恶心人的操作。给两分是怕一分不记入评分😄,4,2025-03-30 13:08,未提供
581656254,阳光,3,先说一下，我是开服的玩家，玩了468天，在另一个手机上我是氪了3000多，他现在这个游戏真的是越做越烂，打着国风武侠的旗号开始大肆的做现代的内容圈钱，现在除了建筑就没一点那个国风武侠的样子了，这个游戏只有刚玩的5个月内有新鲜感，有可玩性<br />那个衣服也是真的越做越烂，春夏秋冬直接交融一个衣服上，你们见过吗<br />男号的衣服也是丑的出奇，女号的衣服就开始各种漏，然后男号衣服也是各种露啊不露点啥都体现不出来你们的心思是吧<br />现在就只有女儿在支撑我了,2,2025-03-30 13:02,Redmi Note 10 Pro
663061047,筱筱🌷,5,请问一下 是官服吗？,,2025-03-29 19:54,Honor X20 SE
630593450,User630593450,1,怎么说呢？玩过爱过，但是没结果。从这个游戏跟莲花楼联动开始，我就已经开始厌了，我也知道它想要放什么屁了。<br />现在已经退游了，我原先用的玩的不是这个手机，我用的是荣耀9x的那个，为什么要特地提嘴呢？因为我这个人其实是不太想把我玩过的游戏给删了的。尤其是我还为他付出了一定的时间跟金钱，但是天意都要让我把他给删了，没办法，没缘分嘛。<br />不过嘛我也不觉得后悔，啥也没有，再把它想要下回来的心情，因为我已经找到了我的代餐。而且它更完美，更好。<br />我只能说想玩这款游戏是冲着开放大世界。还冲着那种古风感的别去别去他会给你沉重的一击，现在真的看见逆水寒就像是看见了犯贱的前夫。不过它的一切已经跟我无关了。<br />只能说不再见吧，玩的时候很膈应，不玩的时候就很平静了。,5,2025-03-29 19:38,OPPO Reno13
682681807,无恙.,4,🧗自由度：<br />总体来说自由度非常的高想干嘛就干嘛<br />对于孤狼玩家可能就是不太友好因为你如果就是没有人玩这个游戏就会非常的无聊<br />我不是在tap tap上面玩的   时常压根就没有<br />建议下官服下渠道服人特别少<br />我下的就是渠道。。,,2025-03-29 13:56,Vivo V2203A
599927500,婷,5,求你了，能不能下载快一点？我不想我的数据丢失啊。,,2025-03-29 08:57,Realme V3 5G
108417983,無情哥,5,光过年送大几百的自选时装就给了<br />零氪可入，游戏体验跟氪佬大差不差。<br />氪佬的爽点在于时装坐骑（华丽特效拉满），神兵（属性拉不了零氪太多，可以接受）,,2025-03-29 01:01,Redmi Note 11T Pro
21877262,Narapat33,1,背刺，背刺，背刺，背刺，背刺<br />游戏没有平衡，职业平衡做的稀烂，然后实际上每次打本都是前几周一直打不过，后几周随便按，甚至说一键连招就能打完，游戏玩法真的很代替打本和pvp，就是按那几套技能，就是按那一套技能甚至说你就一键连招，放在那挂机也能过<br />最重要的就是这个游戏真的很背刺诶，然后策划也很装。。。。<br />为什么说这话很装呢？就比如说每次微博或者说微信公众号上都会强调自己的存在性，都会说这个价钱是自己压下来的，甚至是赛季新装备奖励先设的很低，然后后面就是连忙连跪的道歉，又把奖励设成正常的<br />背刺，背刺，背刺，背刺，背刺，背刺，背刺，背刺，背刺，背刺，背刺，背刺背刺,,2025-03-28 06:17,未提供
413072278,Serein,2,跟亲友一起来的，但是亲友都跑光了，又认识了一两个新的朋友，都是社畜，平时偶尔一起上线打本，玩时间长了习惯了。但是游戏本身有点无趣，bug多，反馈的时候总是解决不了问题，链接里的客服还会阴阳怪气，一边赚着玩家的钱，一边叫玩家多出去走走，别总窝在家里打游戏。就很恶心。没玩过的还是不要来了。😅😅😅😅,1,2025-03-27 18:19,小米24117RK2CC
357803886,Gold Experience,3,逆水寒你个剑人，对得起我这从开服到现在的1700多个小时吗？？？？！服装是越做越丑的，地图是偏离大宋的，玩法是无聊的，这新版本出来和以前那些版本有啥区别？一样没事可做。叫你把流派转换做成脱战时可转换你聋了吗？利好玩家的优化是一点不做，转盘是一个接一个上的，天天就知道在你的公众号上死命吹，你发出来的东西自己敢念一遍吗？你现在最重要的是卸载手机里的🍅小说😅😅😅,2,2023-07-01 02:06,HONOR Pad 9
46005210,然,3,我知道我号非，但每个号都非就不对了吧，目前自己创了9个号，情缘号有1个，同学号有1个，一共11号。那个副本白发不想说了，保底最后一次才出。天赏也是，因为没多少钱，都是零零散散的充，157抽才出个天赏。育宠呢，买草药，做葫芦，去刷宠物还经常被抢，那个宠物转盘花大几十抽，想要的没出，这就不对劲了吧。要不是为了充的钱，和玩的好的朋友，谁还想玩， 上线也只是站着挂机。,,2025-03-27 09:47,未提供
63341635,涵涵,1,为什么我卡在正在检查资源更新那里进不去了？？？？？,1,2025-03-27 07:59,小米Xiaomi Civi 3
541792239,小颖ovo,1,不好玩哈新手宝宝们，这个游戏天天卡加载页面进不去，又要重新下载，修个bug修个好几天，等修好了玩家等的孩子都出来了，天天补偿那几百个绑玉，我拿来干啥呀我请问呢，会不会做游戏啊策划，衣服这么贵也不舍得多送几个劵，跟蛇精一样,2,2025-03-27 06:25,Vivo IQOO Neo9S Pro+
3083035,又勾勾又丢丢,5,也是终于出了双门派，可以玩两个门派了,5,2023-11-17 16:47,小米Xiaomi 14 Pro
427091438,清酒.,3,逆水寒的育宠太可怕了，公共资源别人刷出来的宠物别人抓不住你也不能抓，不然你抓住了人家会骂你的，有的还找人骂你。建议关掉育宠,5,2025-03-27 01:57,未提供
3212418,念念情怀怀,2,回归推荐啥嘞？回归看你游的古风机甲吗？,3,2025-03-26 16:57,未提供
656101657,Kitty糖糖,1,我是开服玩家， 逆水寒，我们各退一步，你退钱，我退游,7,2025-03-26 11:28,小米Xiaomi 14
16350683,半山居雾,3,操作是真他妈难受，飞个轻功都像便秘<br />再过几个月就要两周年了，从一星改到三星，从难受的操作到习惯认命了，非常好的逆水寒，能不能缩短一下副本时间？周一我打了一整天的副本，雀隐要打六次到底是为什么！！,4,2023-07-01 03:00,未提供
709948815,阿良,5,这游戏好玩是好玩，游戏机制不错，不氪金<br />就是一点，这游戏男角色的脸啊，一个个跟个人妖+洗血鬼的结合体一样，脸全是跟个自行车坐垫似的，下巴尖的都能扎轮胎了。还惨白惨白的，就好似生下来没钱买奶粉，拿漂白剂兑水喝长大的。有些的眼睛还有一大圈黑的，跟个国宝似的。我寻思这真的好看吗？就那个上传的推荐捏脸，就没一个正常审美的，可能是我的审美不正常。男号全都跟个男娘一样。<br />终究是一个武侠游戏，别弄的跟奇迹暖暖一个样。,1,2025-03-25 23:33,未提供
702490318,玉林,5,这游戏丰富多彩，特别好玩,,2025-03-25 18:19,5G
127216658,User127216658,5,比起女拳搞得乌七八糟的燕云十六声，这里环境好点，毕竟是老游戏了，玩了几天画面和情节都不错，终于有个可以玩一阵子的游戏了😄,6,2025-03-25 01:30,华为PLR-AL00
458348992,溪云,1,还是燕云舒服,2,2025-03-24 19:47,Oppo A36
539234724,雨,3,圈钱游戏，景色好看，女号人体挺好看的男号就有点一言难尽,2,2025-03-24 19:42,华为荣耀9X
473642941,云云影影云云,5,话不多说，不同的人有不同的的感受。<br />我是休闲玩家，剧情党，风景党，庄园党，爱捏脸，穿搭，论商城出的衣服主打一个喜欢则买，不喜欢则不买。还有萌萌的各种宠物，就像小伙伴们一样，在逆水寒里一直陪伴我到现在 不知不觉就走过了六百多天……<br />玩过各种游戏，最喜欢的还是这个游戏！,19,2025-03-20 11:10,未提供
350897731,无敌且忧桑,4,🌃画面音乐：真不行被你宣传片骗了，画质拉了,,2023-06-30 15:18,红米 K70
654539068,戀少♚,4,我是202 4年（记不清了）当时有青蛇，然后入坑玩的。反正是玩的比较久的，然后上次开学我就把它删掉了，我没有淡游，因为我从始至终都是非常喜欢玩的。不过最近几天把他下回来却登不上了，也不知道是不是我手机的问题。<br />🧗自由度：<br />剧情心仪。嗯，可以自己打boss吧。<br />🏹代入感：<br />赤伶很好哭🥺,2,2025-03-23 13:49,Huawei Honor 30 lite
497455924,零落雨落,4,游戏还行，但是，我觉得吧这游戏玩全了能累死人，还有就是你们现在还有实时光追这个设置吗？为什么我手机没有呢？,,2025-03-23 03:43,小米13 Pro
326367110,媛吖,1,更新完全是BUG我是真服！能不能做完测试再更新啊？！！！！,,2025-03-22 22:36,Vivo V2131A
565802213,春,3,忘本寒，天天给老娘保底，萌宠你就玩吧，一玩一个不吱声，新宠物一堆人和你抢，典藏繁育保底，抽奖池保底，好不容易蹭到了别人的典藏出的还是灰福，这些就算了，我分解两个可交易典藏抽了整整60发未出一典，这就是你游非酋的实力，加上每周的十发算下来也快百发了，依旧没有出货哈，我朋友20发三典逆子你能不能不区别对待，,2,2025-03-22 21:47,未提供
709479571,关于词条的假设,3,怎么下载官方客服  如果下载了官方嗯再换手机的情况下会跟着过去。长久性的,,2025-03-22 21:32,OPPO Reno12
102576764,手机用户102576764,3,逆子，你加强一下碎梦好不好,,2025-03-22 16:50,HUAWEI Mate 20 X
374077895,祖国人,5,🧗自由度：<br />不好，好多bug还有空气墙<br />其他很不错,,2025-03-22 16:44,Vivo V1836A
540615967,念白,1,大家理性下载，我真的想玩的话，建议看一下，尤其是萌新<br />我是一个开服老玩家，从一开始期待的来到这个游戏，到现在彻底失望的离开这个游戏，我甚至都不敢相信这个游戏是否能活到明年。<br />我承认刚开服的时候，这个游戏的氛围感真的很好，大家都很热情，都是对游戏的探索，当时也是十分开心能玩到这个游戏，但这个氛围并没有坚持很久你的真面目也露了出来。<br />首先我是一个万氪玩家，我玩的男号，我喜欢买衣服，但是，逆水寒你真的有认真设计男号的衣服吗，不是玩家说你做的难看，你自己看自己做的套版型你自己不会笑吗，工作室那么多人就设计不好一件衣服是吧，一件衣服你能微微改一下就以另一个套装上架，你真当玩家是瞎子吗，就一心想着圈钱却不想努力了呗。<br />先抛开时装不谈，你的吃相是真难看啊，好看的东西直接扔转盘，甚至还想把衣服特效扔转盘里，你也是打了一手好算盘，一直不断试探玩家的底线，做了错事就随便塞几个绑玉代金券搪塞过去想着我们收到补偿就但忘过去了，你是真把玩家当日本人整了，变相圈钱也是让你学明白了。<br />在说一下概率问题，老玩家辛辛苦苦打一年不如新号随便一打，就连抽天赏也是，你敢直视一个新号爆三个羽毛那个事件吗，主打一个媚芽，那么喜欢小芽，新出的东西让你的小芽去买吧，哪一家游戏像你媚的那么严重，你敢直视老玩家的眼睛吗<br />是是是，你是出了很多玩法，你要不要看看你设计了个什么，bug出不停，你是一点都不带管的，玩家发现有趣的东西了，你立马就改了，这是干什么来彰显你做出努力了？开挂辱骂人的举报不成功，你也是牛了，这就是你改出来的东西。<br />再说一下游戏风气，根本没法直视，骂人的，辱女的，恶意开挂的，开黄腔的，根本没法看，更绝望还举报不了，游戏风气坏的吓人，正常人说话，有个敏感字，直接禁言，他们在骂人，连举报都举报不了，你是真行啊逆水寒<br />再说一下育宠系统，不会做就不要抬上来好吧，让玩家内讧，自己美美隐身，你也是见的没边了，见的不能再见了。<br />最后，真的是对这个游戏彻底失望了，我也是见证了你从火到冷的过程，我一直以为我能为了自己的号坚持下去，玩过那么多游戏，一玩几乎都是好几年，你是第一个真的把我恶心退游的，另外就现在你的吃相真不知道你是否能再活一年了。,107,2025-03-22 15:20,未提供
8654245,User8654245,1,白屏白屏还是白屏，根本不能正常游戏,,2025-03-22 11:27,HUAWEI Mate X3
687708517,老猪,5,就是太多的好看的时装要钱,,2025-03-22 03:48,vivo Y200i
679746158,香菇吃饭逛街,3,江湖不见,8,2025-01-13 05:04,未提供
72347640,凌栩涵的安雨晨,1,垃圾游戏bug一堆，打着古风的名号玩机甲，缝合各种小游戏，每次新地图出来都bug一堆，还越来越卡，真是一星都不想给,,2025-03-21 23:18,未提供
603013719,精神状态不佳,5,一个除了捏脸和皮肤没用到彻底的游戏。风气很差，对新人非常不友好。被匹配机制搞了过来，骂新人。你2000分很了不起吗。匹配我一个刚上1300的。我都没去过高分段，我懂什么。还说你不是欺负我。你过来直接嘲讽拉满了好吧。一直在那儿说，一直在那儿说。有#啊，我##玩了一个月，玩的还云里雾里的。你一个碎梦，又脆又打不出来伤害。你瞬间半血了，我不下去吗？我不能吃伤害吗。我不给你套盾，减伤加buff。你死了，是不是也要怪我。那伤害不落到我身上，落到谁身上的。还说我玩的菜。对面又黏又控制。我技能就那么多。跑都跑不掉。一个破匹配，你上到全国第四，你很了不起了。“聿离” 你要是很想上分的话，你就自己找个车队，不要匹配到路人。你是真的##。我那个号我一个月充了几千块钱。我都给注销掉了。真##不想在看到逆水寒里的那群##了。虽然我没看你是哪个区的。但是我记住你了。昨天我哭了两个小时。今天刚睡醒，我一想到我还是哭了几十分钟。一想到我都委屈。这个游戏真#心。😿最后再来一句连喷都不让喷还让我修改。也是没用，到了极点了官#。<br />✍🏻建议：<br />不要再纳新了，让老玩家自己内部消耗吧。就非得人人都是全国第一才好是吗。,3,2025-03-20 20:36,Vivo IQOO Neo8
497959539,紧接着十二点睡,5,网易最良心的一款网易，主打一个自由，我开测第一时间去玩的，我原以为要像魔兽世界那样慢慢做任务升级，原来是我格局小了，出来走了过场动画，我就没仔细去做任务，反而是在城里到处找东西，不知不觉啥也没干就满级了，这倒是颠覆了我的认知，后续庄园超高的自由建设的更是让我无法自拔，天天什么也不做，就在玩庄园的建筑建造。,,2025-03-21 15:11,Blackshark SHARK KSR-A0
413044659,kk,4,为什么我删了再下下不到…下了3次😓😓,,2025-03-21 11:15,Honor 80
