用户ID,用户名,评分,评论内容,点赞数,发布时间,设备型号
472275368,米奇尿尿屋,3,本来想给满分可是为什么百科助手维护,,2025-04-04 22:39,小米Xiaomi 12S
653869020,颖川.,1,买完了以后卡没了这边还是显示让我付钱但是已经花12块钱买过了还是在TapTap上买的,1,2025-04-04 19:01,iPhone 12
710538442,装睡的鱼,5,为童年补票了!,,2025-04-04 18:54,未提供
20649456,。,5,泰拉百科啥时候开🙏,,2025-04-04 18:39,未提供
429158883,心中有爱,5,真的是非常好玩，难度梯度，boss，各种小怪都挺合理，,,2025-04-04 18:38,未提供
358686052,萝卜,5,🙈好玩的，就是没人陪我一起从头玩到毕业,,2025-04-04 17:32,Redmi K50
649135638,爽歪歪,5,6天毕业，平均一天11h，什么实力,2,2025-04-04 17:29,Vivo Y36s
397663169,888,5,刚上高中那时候，我在浏览器上第一次接触了这个游戏，那时候也没有零花钱，手机也很老，王者什么的游戏都没办法玩。快手没法看抖音也卡，平常只能看看小说玩玩小游戏，一直和那时候的同龄人没什么话题，一次偶然的机会接触到了这个游戏，那时候的玩的还是国际版别人破解的，第一次玩的时候感觉好难玩，玩了几天发现很好玩，记得最迷的时候玩了一晚上，一天我看到我同学也在玩这个游戏聊了几句，他说晚上一起玩，我当时就懵逼了，还能联机吗，回来他要我taptap的号，我立马注册了一个，注册完了给他我说我卡了，不能玩，其实是我没有零花钱买这个游戏，后来他又喊我玩，我说我删了。<br />昨天在刷视频的时候刷到了这个游戏，想起来那时候，便买了买完玩了一会，感觉没有当时玩的这么好玩了，现在也没有时间玩。<br />有些感康希望，我们都能在自己最喜欢一个东西的时候得到自己最想要的东西,1,2025-04-04 17:28,未提供
416753591,咸大YU🐟,5,好丸,1,2025-04-04 16:59,iPhone XR
706119242,贝塔人,5,🔨DIY自由度：<br />这点就不用提了<br />像素沙盒游戏要的就是自由度<br />方方面面都很好<br />🏝️世界开放度：<br />这点也特别不错<br />有草坪 矿洞 沙漠 山洞<br />每个地方都值得一玩<br />🎮可玩性：<br />这点不用提 很好的,,2025-04-04 16:13,未提供
99359255,wjc,1,怎么接收不到验证码啊,,2025-04-04 16:03,Vivo Y55t
125548525,User125548525,4,qq群申请加入了怎么还不同意,,2025-04-04 15:32,OPPO A93 5G
511133771,风格,3,为啥我开的多人联机，莫名其妙被举报就玩不了了，我又没开挂，又没干啥的,1,2025-03-08 21:13,Honor X50 
448055761,爱柠檬不酸,5,有没有要一起打高难度的😍,,2025-04-04 14:41,Vivo IQOO 12 Pro
709339020,王小兆,5,有点简单了<br />建议多出点难的boss拷打我,,2025-04-04 14:31,未提供
444203592,紧握矛盾,4,为啥不能玩模组啊,1,2025-04-04 13:06,Vivo V2049A
413249508,沧慧,5,有人能带我玩吗qwq,,2025-04-04 13:05,Vivo IQOO Z9
464445512,阿斗,5,心动能不能把创意工坊同步一下,1,2025-04-04 12:15,Redmi Note 12T Pro
401678163,伊莱克林,5,没啥好说的  端游原版灾法毕业  了回来原版养生  本来手机上是有盗版的  但是脑子抽抽了才买的,,2025-04-04 10:49,华为荣耀畅玩7X
563954781,芙兰朵露＊刀光鸽,5,我个人认为这款游戏自由度很高，还可以和朋友一起联机，可玩性好但是我感觉那个调整按键的有点别扭，不能放太上面，不然会被删除，导致调整的按键会有点奇怪。,,2025-04-04 10:33,未提供
688836662,666,5,有人带我一起玩吗？不是那种一上来就有特别多东西的我想要一步一步自己发育的那种感觉,,2025-03-10 21:44,Vivo V2031A
421114578,小幻欢,5,能不能改一下这玩意每次放放按键的时候位置都不合适想往中间放放又不让放，能不能做一个收起的按钮，真的很烦,,2025-04-02 19:14,Vivo V1938CT
710622883,三,5,建议赶紧修复一下这个bug，物品转化显示以及袋子开出物品概率显示都没了，刚玩的时候还会显示玩了几个小时就突然消失了，有些东西渲染缺失，比如说大师模式下的那个。克斯鲁之盾的那个嘴不见了，但可玩性还是挺高的，建议修复一下，不然太难受了，浏览器下载的还会显示。,2,2025-04-04 08:36,Honor Play 40 5G
573678761,殇魂AS,5,有一起玩的嘛？,,2025-03-22 08:48,HONOR AMP-AN00
109031699,封印°′寂寞．,4,对于刚入坑的人有点不友好，指引性太少，我一个新手，进去常不知道干什么，也无法找到干什么的趣味😐,,2025-04-04 00:32,红米K20 Pro
111346371,阿这？,4,国服除了联机体验差导购一大堆手机操作难也没啥缺点了<br />能不能快把导购全干掉,,2025-04-03 23:04,未提供
555240721,皺诹,5,啥时候有灾厄呀？，老版本都玩腻了，电脑现在拿不到,1,2025-04-03 22:47,未提供
35380011,茶香茶苦,5,我承认你的肝度确实无敌，但我要是掏出我的/give /item呢？😋,,2025-04-03 20:47,Huawei MatePad 11
710976134,烦人的烟火气,3,难操作，按键太多,,2025-04-03 19:58,Honor 70
705279423,TR,5,客服和工作人员，谢谢你们,,2025-03-22 09:47,Redmi Note 12 5G
107160165,瑞,1,我的存档无缘无故消失,,2025-04-03 19:05,HONOR CLK-AN00
634188635,白蛙侠,5,好吃，但没模组,,2025-04-03 19:00,OPPO A系列
665364805,下坠,5,怎么回事？买了进不去了？😭,,2025-04-03 18:46,未提供
37345655,瞳ㅤㅤㅤ,5,什么时候能加模主啊,,2025-04-03 18:24,未提供
530431621,欣赏,5,🔨DIY自由度：<br />超高<br />🏝️世界开放度：<br />超高<br />🌃画面音乐：<br />无敌<br />🎮可玩性：<br />无敌<br />🔖运营服务：<br />👍👍👍👍👍👍👍<br />✍🏻建议：<br />增加更多的物品<br />月总后再增加新的boss,,2025-04-03 18:19,Vivo S16
451322459,是猫猫不是小猫,5,没有史莱姆ang啊,,2025-04-03 15:12,小米24069RA21C
707469282,呈接,5,这款游戏的自由度很高，并且可以让多人联机跟朋友一起玩，共同体验打怪的刺激，顺便提升一下自己的走位技巧，官方还很贴心的为那些手残党提供了逃课小技巧，我最喜欢的就是图片所示的逃世花的方法了，能让自己更快的进入到后期，注意0大师难度会发射毒刺😂（会穿墙），专家到不会，这里还有线路的，只不过是没有显示（这款游戏还是我同学拉我进来的，刚看到的时候有点不想玩这种像素类游戏，但之后玩了一会，感觉很好玩，和朋友在一起玩乐趣翻倍）,9,2025-03-22 19:12,未提供
647832680,一许莫到,2,我就是搞不懂，我有一段时间没玩了，我之前买过，就是在这部手机上的，大概过了五六个月，我重新更新了一下，发现重新更新还要再收我18,,2025-04-03 15:02,Redmi Note 12T Pro
418067499,空调不够冷,4,其他都好。就是太久不玩。重新玩的时候为什么把我的世界全部删除了？，每次都是这样，真的很无语。😡😡👿👿,,2025-04-03 14:30,Redmi K60 Pro
688792893,何人似星辰,1,这是怎么个事？,,2025-04-03 01:13,一加手机Ace 5
108096715,厌.,1,我地图怎么没了,,2025-04-02 23:52,Huawei Nova 9 SE
335155756,淺藍,2,逆天土豆服务器，跟朋友玩着卡不说，还给我存档吞了😅,,2025-04-02 23:26,Redmi K60
378052664,沭肄菜鸟,1,本来是想给游戏五星，但想了想算了，游戏值十星，官方一星都不想给<br />两年还是三年前，那一次更新后一堆bug等着你修，结果过了这么久你还是没有。<br />多人一堆卖装备的，玩泰拉这么久了从来都没有少过，我不知道你们禁了些什么，怀疑是不是官方自己卖的<br />什么爆炸物破坏物更新后那一堆东西你是一个也不禁，什么微光桶蜂蜜桶，还有炸药别人到处炸，只有游客别人才用不了。还有乱七八糟的，我就不说了<br />还有那保护区你要不你就别加了，你保护了个什么，过了几年了还是个圆的，保护区内别人照样挖，从两年前更新我就等着你修，修了个寂寞，动个代码你们都懒得动<br />游戏*越来越多，不知道什么时候开始，遍地都是要装备的，多人素质越来越差，这个这个算了，这个不怪你们<br />暂时没想到吐槽的了,2,2025-04-02 17:16,HONOR 200
711105548,老43,5,能更新模组吗？,,2025-04-02 17:09,Honor X50 
63074793,北瑟,1,不er，很久没玩了<br />今天点开要更新让我重新买？？？？😅,,2025-04-02 16:59,Vivo IQOO Neo9S Pro
517583131,火云飞,5,无敌的游戏😾，这是一个2d开放沙盒冒险游戏。就算通关了，里面也会有很多内容可以玩。泰拉不是那么注重生存，偏向冒险。唯一的缺点可能就是手机端操作需要适应适应按钮会更多啊啊啊,1,2025-04-02 07:44,Vivo IQOO Neo9 Pro
346260991,REtherity,3,联机问题真多，延迟很高会吞东西，时间反复横跳，有时候还会莫名其妙复制背包里的物品，然后有时候会莫名其妙被禁言，比如跟好友说家里还剩多少材料。,,2025-04-02 05:41,未提供
401883391,1,1,首先我pc泰拉瑞亚破千小时，玩这个手机版我必须骂两句。能不能把你那破lj合成表自动跳转改了？好不容易收集完材料你自动跳转nm呢，给我乱合成一堆别的东西，操作还不如以前的野鸡移植版本流畅，和一坨大的一样,1,2025-04-02 00:45,Nubia NP03J
517430108,事LZ_,5,没得说，从小学就在玩，初中陪同学玩了正版，马上快大学了还在玩，不同设备玩了起码有1500+小时，我心中最对的单机之神了,1,2025-04-02 00:42,Vivo V2002A
429042657,爱玩游戏的陈,4,有模组就好了,1,2025-04-01 20:50,Vivo IQOO Neo6 SE
107918260,仇家太多不方便透露,5,催更1.4.5<br />我游戏时长545h 有没有人一起大师开荒,3,2025-04-01 19:54,HUIZUU 20210188
438678941,超级无敌火龙劈,4,天哪，我删除之后重新下载。人物那些都有，存档都没了,,2025-04-01 19:14,Honor X40
659376655,无双水晶,5,请问一下在里面的存档只能让它自动存吗，能不能主动存档啊，每次下线在上线存档就会丢失一部分,,2025-04-01 17:52,未提供
328213007,Lucky_ruler,3,卡在实名认证那里，收不到验证码，有没有懂的帮我解决一下qwq,1,2025-04-01 12:56,小米 Redmi 10X
102943738,微光星辰,2,真玩不来！有没有人带带我😖,,2025-04-01 12:06,红米 K70
330449663,49,4,端游玩了一百七十个小时，已经大师通关了，感觉手游有点难操作，和谐的模型有点不适应，但整体还是很好的<br />1.4.5催更,2,2025-04-01 10:27,iQOO Neo5 SE
655196023,。,5,我是新手 谁来教我怎么玩玩  我是女生,,2025-03-31 22:48,华为BTKR-W00
484223830,veek,5,有人和我一起玩吗？本人不太会建房子,,2025-03-31 21:05,未提供
479410769,钟瑞,3,操作太难受了,,2025-03-31 17:52,OPPO PGBM10
698274891,愿许秋风离别意,5,手机版玩不习惯，按键太多太难受了，而且方块太小不好操控😢,1,2025-03-31 16:36,Huawei Mate 60 Pro
456074074,屑DIO,2,杀怪从尸块掉落变成一阵烟，血月怪全给我和谐成菠菜就算了，怪物旗里面的红色也成绿色了，老子摆一排旗子跟晾海菜一样，和谐你大坝,5,2022-04-21 08:56,荣耀9X Pro
523245046,知我人存于梦中,5,游戏是个好ip 玩法可以说类似我的世界 自由度很高 可惜国服bug有点多 之间打个世吞打一半世吞钻地里横着一直跑跑没了。,,2025-03-31 03:16,红米 K70
72527868,风瀚,5,游戏内容丰富，可玩性高！<br />🔨DIY自由度：√(高)<br />🏝️世界开放度：√(自由，能够探索许多东西)<br />🎮可玩性：√(高)<br />🌃画面音乐：√<br />✍🏻建议：希望以后能在手机上玩到电脑的模组,1,2025-03-30 22:38,Realme 10
405036398,蟠鬼酒,5,世界观和游戏性都不错，肝了长时间后，击败boss也很有成就感，角色武器装备丰富,,2025-03-30 22:09,Vivo Y53t
63830840,有缘人,1,为什么不能联机？我上传了他又强行要我玩单机什么吗东西？,,2025-03-30 21:18,一加手机Ace 3
345858249,初秋繁华如梦,5,整体游戏玩法很不错，内容也很多，只是奈何我是个手残党。用手机实在玩不来。无奈退款。😢,,2025-03-30 20:57,Vivo IQOO Neo9S Pro+
477753231,仅此而已,4,这是为什么,,2025-03-21 22:45,未提供
705815035,qwe1283,3,不是我物品刚放箱子里就消失了😓，直接当我面没了(已经好几次了)，打怪也很卡,,2025-03-30 18:07,小米13
529036489,楠川,4,现在的新手太没体验了。多人一大堆人送装备。还有的大佬教新手外挂。,,2025-03-30 16:50,Nubia NX709S
61323197,ᝰ,1,垃圾优化 不看看多少人在这说联机房间无法关闭的问题 干什么吃的,,2025-03-30 14:57,Xiaomi Redmi K60 Ultra
624779205,我是开心果,5,最开始是我同学带我打的我还不知道怎么玩怎么做装备不过玩久之后感觉越来越好玩了不仅是打我还不知道怎么玩怎么做装备，不过玩久之后感觉越来越好玩了，不仅是打boss，还有各种成就待你解锁,,2025-03-30 14:41,Tianyi TYH641M
710482001,龙の账号,5,真神无需多言,,2025-03-30 14:20,未提供
448551744,User448551744,1,666卖老子18块钱，结果开个多人房间关闭不了一个联机系统能做成这个样也是无敌了，向导打个哥布林侵袭死了，结果玩了两天了愣是没复活。,,2025-03-30 14:12,小米24069RA21C
487113846,没有梦想的咸鱼,3,游戏还行，就是手机操作特别困难，感觉玩不过来，要是这个操控系统能再修改一下，优化一下就好了,,2025-03-30 13:58,Honor X40 GT
96838152,蛇皮走位,1,我买过了为什么更新要再付一次钱?,1,2025-03-30 13:22,小米24117RK2CC
447075869,风声,3,游戏是好游戏，就是服务器有点寄了，还有，我的键鼠为什么用不了，做了键鼠适配但是不能用键鼠是吗，有点意思😂,,2025-03-30 12:02,未提供
427507541,灯泡buld,4,为啥删了重下地图全没了,,2025-03-30 10:24,华为P20
611643951,鬼冥LUCKY,5,真的，你只要玩了它，就很难不沉迷其中了😏,,2025-03-30 09:32,未提供
82268724,高木赛高,5,想找个人一起玩，双人😎😎,,2025-03-30 08:56,Honor 80
667895934,。,1,我已经买过了，但又要让我付费怎么回事😠😡,2,2025-03-30 03:36,Vivo V2023EA
708679797,邓皓元,5,我的世界玩1个小时我能通关，泰拉玩一个小时我觉得群殴能与一个小boss一战😥😥😥,,2025-03-30 03:32,Vivo V1938A
580071283,一叶,5,键鼠开不了箱子，希望能改一下。,,2025-03-30 01:35,OPPO PEQM00
446991566,风清云淡,1,双人房退了一次房间直接卡没了，骁龙8g3打游戏那怪都直接飞雷神，<br />🔖运营服务：石中石,,2025-03-30 00:28,Vivo IQOO Neo10
379684613,Behib,5,强推！！游戏玩法特别有意思，当初和好朋友一起玩的时候真的是玩一整天都不觉得累，不觉得无聊，但是现在自己玩的话玩不了多久就觉得累了。泰拉瑞亚的最高配置还是一个肯陪你一起“坐牢”的好朋友。很怀念当初和好朋友一起“坐牢”的时光,1,2025-03-30 00:14,Vivo IQOO Neo8
58686164,手机用户58686164,5,游戏确实好玩不过bug有点多修一下吧,,2025-03-29 22:27,小米Xiaomi 12S
68729312,晴空里下雨,4,之前给过钱买了 现在怎么又要买一次😅😅😅,,2025-03-29 19:45,Vivo IQOO 12 Pro
657488766,13mic,2,能不能退款，游戏是好游戏，就是手游玩起来太别扭了给我整红温了,,2025-03-29 19:43,小米13
634386213,E某.,5,花了18块钱，快点出装模组功能😰,,2025-03-29 14:41,Sprd H11
416800263,User416800263,1,玩一半去搜个东西角色给我卡没👎👎👎👎,,2025-03-29 14:28,华为HONOR 20
385520535,我想当鲜葱啊,5,很多人说它肝，不假，同朋友玩时那种一次次被小怪亦或者boss秒的心情同样也是份藏在心底的收获；游戏真正毕业时有着激动开心之余却有种说不出的落寞，总之，我很喜欢这款游戏，它带给我的远不止快乐.,,2025-03-29 14:17,iPhone SE (2nd generation)
333031960,方夺,5,神中神！！<br />世界上只有两种人，一种是没玩过泰拉瑞亚的一种是玩过泰拉瑞亚的。<br />第一次接触觉得按键好多好繁琐，建筑战斗探险都好麻烦，于是弃坑而去。后来朋友又拉我回坑带我体验了我自己玩的时候从未体验过的建筑战斗探险。<br />游戏里的各种小彩蛋也非常有趣，给史莱姆丢剑，圣诞节时的兔子等等。<br />🔨DIY自由度：<br />⭐⭐⭐⭐⭐<br />基本上能想到的材料都有，想不到的也有😃只可惜本人不精通电路原理，不然我肯定愿意构建出一个更加宏大的世界。<br />盖房子种草药之类的就不谈了，个人觉得最猛的还是那批玩2d沙盒画还有完美建筑的，每次进联机房间都会被惊艳到。<br />🏝️世界开放度：<br />⭐⭐⭐⭐⭐<br />上天入海怎么样都行，各种生物种群，各种地形环境都会给人眼前一亮的感觉，基本上想做的都能做（只是手机版添加不了mod不然我相信开放度会更上一个档次）<br />🎮可玩性：<br />⭐⭐⭐⭐<br />求一颗没有玩过泰拉瑞亚的脑子。<br />第一次和朋友在大师难度击败这些boss的时候把圣物摆在家里，到后来摆出来两排的圣物，成就感拉满，但是到后来不论怎么样通关这个游戏都不会给我第一次击败月总时的感觉，全屏白光看着月总在眼前散架，合成梦寐以求的天顶剑，以及背景播放的泰拉瑞亚生平，能和这一刻相比的只有第一次mc击败末影龙时的致谢。<br />后来我自己怎么玩都玩不出第一次的感觉，后来我发现，原来在我脑海里最深刻的是和我朋友一起玩这个游戏，互相给对方使绊子，在对方死掉的时候嘲笑对方菜，来回卡复活时间击败各种boss，还是那句话:“朋友才是游戏的最高配置”,104,2025-03-29 13:52,未提供
705474791,晨鸣,5,纯属加个好友😄,,2025-03-29 13:35,华为MRO-W00
7065493,没看到啊可恶,5,确实好玩，使我的内脏变为了外脏😆,,2025-03-29 13:23,未提供
689069704,高飞,4,游戏很好玩就是内个wike一直在维护我想查个物品id刷个东西都得去别处查,,2025-03-29 11:57,魅族20 Pro
707322633,鸡你太美,2,游戏好玩，但是官方老是有bug，每次一退出，上次我房子被我不小心炸毁了，然后我修好之后呢，它都显示存档了，我就退出去了，结果第二天登上来一看，房子还是没有被修好，就是bug回档，存档不会自动，气的我要崩溃了，这个存档能不能给他改一下？每次退出都要给我重新回到以前这个bug不修好的话，是真的很让人难受，之前捡到一个发光宠物，后面第二天登上来一看，宠物消失了，真的是气的，官方，能不能给他修一下？不然是真的让人玩不下去，你说你好不容易捡到的装备，第二天回来一看哇，全部不见，又什么意思？两份是给游戏好玩，剩下的就是你这个bug修的太他妈差了,,2025-03-29 11:16,Honor荣耀X60
355230775,User355230775,5,游戏是个好游戏 挺好玩 但是这个玩家游戏素质有待提高，首先本人不是特别会玩这款游戏 是同学一步一步教我怎么玩 我也肝了挺久吧 但是开个房间想找人一起玩玩 结果一进来就开炸的 我在《我的世界》《迷你世界》都是没见过的 还是很难受的🤐,,2025-02-22 02:42,Redmi  K70 Pro
563173749,雪糕,5,不好玩就玩了一会有点无聊了过会再玩,1,2025-03-29 10:02,未提供
513265054,巴特,5,玩了一个多月了。刚打败血肉墙。玩法非常多。唯一的缺点就是有点难入坑。我是新手😂😂😂,3,2025-03-23 13:51,Vivo Pad Air
429996915,万世浮华,5,有没有人一起玩玩啊,3,2025-03-29 02:53,未提供
633485299,仁焱金,5,以前免费的时候玩过，那时候我小，不识字如今，我问小爱在哪下载，它给我搜了个盗版的，英文我基本不认识，终于能玩上正版了,2,2025-03-28 14:32,小米24094RAD4C
519830267,琥珀封印,4,我真不记得是在哪一年接触到的泰拉瑞亚了，只记得当时在4399瞎点的时候看到过，一脸懵地玩了十几分钟，就关了。那时候只觉得这游戏“好土”，像素风、界面奇怪，打怪还要自己造武器，完全看不懂，直接放弃。<br />后来再见到它，已经是我初中那阵子了。家里老早不给玩电脑，只能搞个手机打发时间，王者打累了，有天同桌突然给我安利了一堆独立游戏，我记得特别清楚，那时候他给我讲“有个游戏叫泰拉瑞亚，能挖矿，能打怪，能联机，还有很多boss。”<br />我那会儿一听能打怪、还能挖矿，觉得还挺新鲜的，就下了盗版开始玩。<br />一上来就是狂挖，我真的没管啥顺序，所有矿都全图挖一遍，但就是没去打boss。玩了好几天，群友看不下去了，拉我去他们世界看打克眼。我第一次看到那种巨大的眼球在天上飞，然后满屏弹幕，那种震撼现在还记得。<br />后来我疯狂查攻略，从旭日的文章到贴吧乱七八糟的教学，看什么“铁轨流打boss”“光女炸药炮台”，我全试了个遍。甚至用沙块把自己头砸进地板里当逃课手段（别问我为啥知道这bug，问就是走火入魔了）<br />虽然后来也玩了不少别的游戏，比如饥荒、星露谷、以撒、双人成行什么的，但我心里一直觉得，真正能让我沉下心一直玩下去的，只有泰拉瑞亚。它那种自由度真的让人沉迷，你想建房子，它给你地形和方块；你想打架，它给你几十个boss上百种武器；你想联机玩沙雕，它也能支持多人一起整活，没一点限制。<br />我高中那阵子，玩腻了手机的那一套抽卡游戏之后，就靠泰拉撑着。上大学之后我玩Steam了，有了更好的平台，但每隔一段时间我还是会回去打开泰拉，把老世界翻出来看看我那些奇葩建筑和诡异boss场地。<br />泰拉就是那种，看起来像素风很简单，其实内容丰富得离谱的游戏。就算你说它是“2D我的世界”，那也是更偏打怪和探索的版本。它不是那种靠剧情吸引人的，它是那种靠“过程”让你上头的游戏。你不知道你今天会下矿挖出啥新材料，也不知道打完一个boss又能解锁啥新东西，你只知道一打开就根本停不下来。<br />所以说要是你没玩过泰拉瑞亚，那你真的亏大了。<br />这游戏不是那种3A大作，但它却是我手机里最舍不得删的那一个。,,2025-03-28 13:57,未提供
54370924,User54370924,3,游戏还不错就是手柄没有完全适配希望能早点适配手柄操作,,2025-03-28 11:54,一加手机Ace 3 Pro
58463674,好一个帅哥,5,操作模式能不能改成1.2版本那样的，这么多按键按的不舒服啊,,2025-03-28 11:40,一加手机13
687787581,爱新觉罗,5,纯新手，get fixed boi red是怎么想出来的？还有换手机单人存档没了这点真的无语，多人服务器的怪穿墙已成常态，这服务器能不能优化啊？,1,2025-03-27 23:01,未提供
105717660,墨黎,3,感觉手机好难玩，是了好多遍，平台都没办法用锤子敲成梯子，锤子都没办法选中啊啊啊，好烦,,2025-03-27 23:45,红米Note 8 Pro
473593056,Tnau.奈布,5,神作，无需多言(除了国服没有mod，联机卡亿点难受点以外),,2025-02-08 00:55,OPPO Find X7
630016581,熙铧,5,操作性比手机tmod版好多了，但抓钩根pc版相比用起来比较麻烦，我打boss几乎不用钩,,2025-03-27 21:48,魅族21 PRO
412318107,晨曦.,3,我存档呢我存档呢我地图存档怎么更新一下全没了,,2025-03-27 21:20,Vivo IQOO Neo9S Pro+
683787719,哈,1,买了泰拉瑞亚不让更新，要我重买,1,2025-03-27 20:16,Vivo V1932A
114007713,User114007713,5,有个问题，调时间进不了游戏我怎么打霜月,,2025-03-27 19:43,未提供
464482915,凉茶不解渴,1,无法实名验证，买了玩不了,,2025-03-27 18:38,iPhone 16 Pro
539494675,白夜,4,打着一卡一卡的，联机的时候还会时间回溯怪物也会回退而且还会穿墙,,2025-03-27 18:07,未提供
482959583,。。,5,其他的不想问，我只想问下，这是什么意思？Bug？我真不想再开存档了,,2025-03-27 17:33,HONOR Magic6
706226519,白离,5,老是金币丢失，打了两年半发现就到账了一个铂金币😂,,2025-03-27 17:18,未提供
510223662,🐔,5,哥布林祭司提醒你:<br />1，节假日是不可以出去的，外面很喧哗，但他们都不是你的同类<br />2，哥布林是大多独居性生物，没有人想做他的配偶，如果有人邀请你并对你产生好感，请断绝与他的联系<br />3，不要照镜子<br />4，所有夸赞你自信的人，他们不了解你，可以不于与他们交流，但如果他是你熟知的人，请立即驱散他，他不懂哥布林，或者他不是同类<br />5，远离不再是哥布林的人<br />6，在地洞中可以看看同族小丑哥布林追求精灵失败的乐子幸灾乐祸一下解解闷<br />7，她只是想把你从巢穴中骗出去杀掉练级 ，但是族群会永远保护你，等你回家…补充:古老的古埃及、古巴比伦哥、古天竺与古罗马和波斯帝国的哥布林祭司所言:当本族灾厄之时，前往丛林寻找先辈之物——大哥布林祭祀的法杖，那个可以解决一切困难。,25,2025-03-27 16:52,Vivo V2073A
101172399,成风,5,玩多了手游有点不习惯端游了,,2025-03-27 15:57,未提供
442139669,黄河滔江,4,今天是2025年3月27日，第二次重新走了一遍泰拉瑞亚大师的流程，职业是召唤师和战士的量子叠加态，要挖矿铺平台的时候是召唤师，打BOSS的时候就量子坍缩成战士，我有时候就怀疑你在打开背包铺平台或者钓鱼的时候这游戏里面程序会调刷怪率，这可比水蜡烛和战斗药水好用多了，尤其是在丛林里面造农场和平台的时候，那个蜜蜂、尖刺史莱姆、骷髅就不要命的刷，隔着一个屏幕的距离a你，还给你上个中毒buff，我至少在搭那个平台的时候死了十几20次，也不知道是触发什么刷怪机制了，杀了一只还来一只，打BOSS的时候都要刷，以至于每次从丛林的那个大坑里面往下跳的时候，我就觉得我自己不是在玩泰拉瑞亚，而是在玩掘地求生，我就是那个在罐子里抡锤子的西西弗斯。,,2025-03-27 12:18,Honor 60 SE
413875920,NaCe1Ounce,1,操作是真的真的垃圾,,2025-03-27 08:11,iPhone 14 Pro Max
4223702,"(*°ω°*)ﾉ""王畅",5,一个值得买的游戏,,2025-03-27 04:11,Vivo IQOO 12 Pro
566292644,我不是沉默,4,他的触控实在是太难受了，一堆交互按键，用弓箭也不方便，有的能通用，有的又不能通用，搞得我玩的很难受，内容带给我的快乐和触控带给我的折磨，只能说痛并快乐，跪求官方优化！！！,,2025-03-27 00:19,OPPO A3活力版5G
640580375,t,1,联机要卡死了，网好好的boss身体都能卡没了，只有个头你让谁打去。。。花钱买你游戏你换便宜服务器了吗😅,,2025-03-26 23:54,华为荣耀9X
111188800,零度太难了,3,我要玩模组！我要玩！模组！我！要！玩！模！组！,,2022-09-26 11:33,小米23090RA98C
