用户名,性别,评论内容,IP属地
hcllll,male,别管我吃或不吃灰，买我还是想要买的[doge] 任天堂主机造型真的太帅了！ 希望性能也ok，多上点大作，考虑下ps和steam玩家。,中国-辽宁
夜守白,unknown,虽然不怕黄牛，稍微抢抢还是很简单能买到的，但还是得关注有没有什么强力护机大作，不要求像塞尔达荒野之息那么厉害，起码让人稍微惊艳一下的程度，而且最好要求新机型才能有最好的体验那种，不然感觉购买的意愿不太强,海外-日本
转动命运之轮kura,male,能告诉我爆料Switch2的芯片大概是什么水平吗？[笑哭],中国-河北
Wooo路过,unknown,ns还是太成功了[笑哭]我记得老任以前机子换代命名不规则的，这次真叫switch2,中国-广东
晕晕晕熏丶,unknown,za有消息吗，让我在ns上mega吧，求求了,中国-吉林
咸鱼科长,male,处理器怎么样，这才是关键问题,中国-江苏
Risel小花花,female,在任天堂以外的掌机上，他们就没有黑边这个词，这词是专门留给任天堂的[笑哭]在其他掌机上这就不能叫大黑边了，这是高性能掌机的留白[笑哭][笑哭],中国-江苏
_御剑怜侍,unknown,主机上的joycon插槽真的不会断码，感觉像上个世纪的设计啊,中国-陕西
你永远是对的-_-,unknown,"好的，可以开始期待lite,续航版，oled续航版了",中国-江苏
東城會直系天明組組長,male,等着看性能了 据说介于PS4和PRO之间,中国-黑龙江
X1comax,unknown,期待国补，国家大补贴[doge_金箍],中国-广西
欲与鱼与雨,unknown,有没有谁来说下，ns2的性能相当于哪款手机的性能啊？,中国-江西
绯羽落枫,male,首发老游戏会不会适配提升画质啊，有的话就去抢首发了[RO姬偶像收藏集表情包_看],中国-江西
黑皮小华,male,这代手柄卡口设计明显比上代更坚固，两层互相包裹还有限位，后面有两按钮就是需要按了才能取下来的，只是改成了磁吸了就一堆人不带脑子(´_ゝ｀),中国-广东
邻座的阳叔,male,看到这个屏幕黑边，就感觉会出OLED版或者别的加强版，别问，问就是以前买3DS被背刺过，有PTSD了[doge_金箍],中国-云南
YUE丶YUE丶yue,unknown,刚买的oled才半个月[笑哭],中国-安徽
-BroOo-,unknown,为什么黑边还是这么大，是有什么技术上的难题么[藏狐],中国-北京
大白先生奶糖,unknown,感觉switch 1造型更好看，而且是掌机的话真这么大了，有小型lite版吗？我还是喜欢掌机风格，索尼有没有计划出？,中国-湖南
bravepang,unknown,等2上市了，收一个一代OLED，估计史诗级好价[嗑瓜子]，刷上安卓玩串流，再刷个乌班图当电脑，性价比嗷嗷高[doge],中国-河北
jazz-wind-sunset,male,oled屏幕给我眼都快闪瞎了，还是喜欢lcd屏幕,中国-河南
爱玩帝,unknown,我说这回最终幻想7重制版会登录NS2，谁同意谁反对！我还表示艾尔登法环也会登录NS2，谁有不同意见！并且合金装备大师合集2也会登录，虽然都是几年前的作品了但是在NS上玩到还是让人很兴奋对吧！,中国-辽宁
汉斯,unknown,家里还有六个joycon，能不能通用啊，派对玩家真的很需要,中国-福建
梦泪爱超比,unknown,插进去真没划着进去有想法，有意思。1代做的还是太满了,中国-四川
MiSaOwO,male,不懂就问，这边框是为了以后升级oled版预留的吗?,中国-江苏
神代强丸,male,笑点解析：还是没有十字键,中国-天津
Simon预制菜涂装工作室,male,整体变大了一点吗？有一说一我感觉现在这个已经够大了。主要看性能吧。,中国-北京
莎莎发大财,female,和舅舅党爆料的差不多嘛，不过既然本体都大了一圈为什么不设计双卡槽，我还蛮想多一个卡槽放常玩的喷喷，另一个换卡带呢[酸了],中国-江苏
低调的王班长,male,能不能在上面玩大表哥2啊，现在ps5上还是30帧，能不能有一天在ns2上体验到45帧的大表哥2？？？？？？,中国-浙江
Marlinpok,male,以后，就叫ns3，ns4也挺好，我其实完全不排斥这种设计，如果啥时候掌机也能做到牛逼的性能，这种设计蛮不错的,中国-黑龙江
钡-钠-钠,unknown,《致Switch 2》 任天堂堂欢笑开， Switch 2闪耀来。 磁吸手柄稳又快， 摇杆升级乐满怀。 屏幕清晰视野佳， 游戏畅玩无阻碍。 经典IP再登场， 全新冒险等你踩。 性能提升超厉害， 加载迅速不等待。 便携家用两相宜， 游戏时光更精彩。 玩家齐聚齐喝彩， 踏上征程新世代。 switch 2魅力足， 欢乐无限任你嗨。,中国-重庆
知识烧录于心,unknown,估计底座模式玩部分3A能1080P 30帧~60帧之间，掌机720P 30帧，第一方多数游戏应该以1080P 60帧为基准了，野炊，王泪底座模式1080P 60帧是稳了的，掌机模式720P 60帧，前提是还要借助英伟达的DLSS技术，喷射战士3能4K 60帧就好了，我主玩的就是野炊，王泪，喷射战士3，动森，与其叫switch2还不如就叫switchpro，老任不敢起switchpro这个名字怕是被骂快10年了，才升级个pro型号，switch2性能依然孱弱，指望它打PS4和xss的可以消停了，当然到时候发售了就知道实际性能了，给个建议，高于3000块别买[doge],中国-湖北
攻速大钢矛,male,Switch形态作为移动游戏设备来说游戏性已经趋近于完美了，硬件上包含体感、遥控、掌机、主机多种玩法，并且任天堂第一方开发团队能充分利用这一点，例如ns sports 健身环 labo 卡丁车等等。NS2增强了体感，增加拓展接口，加入新传感器，任天堂开发创意发挥空间拓宽了非常多，想想就知道包好玩的。 上世代最大短板就是性能，不足以同步推出第三方游戏，这一代能同步本世代第三方大作发售那统治力真无敌吧,中国-上海
LyySource,male,Switch太成功了，聪哥的遗产，够任天堂再吃一个世代的。但是任天堂自从放弃对性能的追求后，每代主机都有区别于其他家的独特创意，然而市场表现喜忧参半，我只是普通玩家，很难想象未来任天堂还会带来什么样的创意，但是很担心少了聪哥以后，未来任天堂未来会失去创新变得和别家一样，甚至一两次翻车后一蹶不振,中国-广西
哈什的企鹅,unknown,性能方面是我最在意的，别的我觉得升级也没太出众，尤其是那个卡带槽，完美解决了卡带不会断裂的问题[疑惑]但是作为一个老任豚，新机肯定会第一时间入手。其实这么多ns最喜欢的就是lite款，小巧方便。不过手柄的升级应该是可以当做鼠标一样使用，这个创新还是不错的[星星眼],中国-陕西
ayowyo,male,老任终于学聪明了，好的设计就该延续下去，没必要为了突出差异化硬改。,中国-四川
十里瑶琴,unknown,switch2变大不知道是坏事还是好事，当前的switch感觉正正合适，变大会不会降低掌机的便携性；另外是joycon的链接方式，这次两侧里面有个类似usb的借口，这个接口的强度如何，会不会氧化、断联等等。我买了三台switch，现在听到switch更新了，居然有种自己已经落后于时代的感觉了hhhhh,中国-陕西
有老婆的社恐人士,male,宝可梦这种级别的拿来护航很难，但向下兼容，有可能真出2版的，但清晰度和优化还是1的。不要怀疑。真是gf技术力能做出来的事[笑哭],中国-四川
蚂蚁地狱,unknown,ns2的机能可以和ps5持平吗？这样传说系列的掌机模式就可以稳60帧了，720p 60帧也知足啊[喜欢][打call],中国-北京
万事以己优先,male,性能有ps4pro的程度就算大成功,中国-广东
单向透视,female,大伙都在热情的对硬件进行豆蒸时忽略了一个有趣的点：根据这个宣传片，马车9新作貌似支持24人同台竞技。。。。。,中国-贵州
小字辈,male,塞尔达能跑满60帧就能全体起立了,中国-广东
Shindou_814,unknown,主机模式有ps4性能的话理论上是足够搓出美末2，战神4，地平线零之曙光ps4版的画质了，对任天堂来说也还算勉勉强强够用了,海外-泰国
深蓝天空01,male,我就住在日本应该比国内好买🤔，希望价格在3000以内,海外-日本
耀风影,unknown,笑点解析：开头一堆“见证历史”都是一个人发的,中国-福建
zz仓叶,male,所有游戏稳定1080p，60帧直接无敌了[喜极而泣],中国-广西
红Ⅹ,unknown,这个大黑边 那估计过一段时间要来个switch2 OLED 版,中国-安徽
Feddery,male,手机都1.5mm的边框了[思考],中国-北京
sonicmain,unknown,恭喜ns2到达ps4pro性能，以后玩阿特拉斯游戏可以在被窝里爽了。,中国-江苏
Steins丶丶丶,unknown,还是看游戏，目前来看就是nds→3ds式的升级，没整什么花活,中国-浙江
温润如喻水波不兴,unknown,会有ns2lite吗？,中国-江苏
叶飞yf,male,这命名方式想起了wiiu和wii[doge]那结局是否会不一样呢,中国-广东
老实人花,male,好多都在吐槽屏幕尺寸。我之前买过Lite，拿到手上意外地觉得挺大的，而且不像手机，手不会遮挡到屏幕。 总之这一点应该是不用担心的啦,中国-广东
五部大都督,male,ns已经大到不适合手持了，这个ns2的大小颇有一种win掌机的美感[尴尬]。不过我相信重量肯定比win掌机强多了。,中国-北京
El-eL,male,1：12这里看来新joycon能当鼠标用是实锤了，随本体会附带一个配件加宽底部方便使用,中国-北京
丶伊卡洛斯-,unknown,啊？手柄变成插拔的了啊，滑插党泪奔。那种丝滑的滑动阻尼配合适时的音效，很解压的。[大哭],海外-日本
刺客元老巴耶克,male,希望二代能支持一代的卡带和任天堂账号里购买的数字游戏，护航作希望能有火纹、喷喷和塞尔达新作，新机最好能把异度之刃23、旷野、王泪和猎天使魔女23的画质帧数解锁一下上限，就这些愿望了[笑哭],中国-山东
一唐道一,unknown,有1代首发购买的朋友吗？不找黄牛之类的，应该怎样购买，官网还是某宝这些平台，国行系统和其他地方的一样吗？,中国-广东
MaxCombo_,unknown,挺好的，至少任天堂吸取了教训没有起名叫Switch U,中国-中国香港
bili_用户名违规,unknown,我不知道为啥弹幕要吐槽黑边，即使oled出来后，我也没觉得原版switch黑板有多别扭，我觉得只要不影响观感其实都可以接受的，它不像显示器，手机，ipad这种产品，这类产品黑边大的话观感上还是挺影响的，但switch的黑边我觉得恰到好处。,中国-广东
Swood22,male,2月27号宝可梦za肯定要宣布兼容ns2了,中国-湖北
落笔成鱼O_DRiver,male,怎么说呢，当年最吸引我的就是滑进去的手柄，咔啦一声，简直爽翻了[doge_金箍]，这回改磁吸不知道体验怎么样了,中国-河北
林骁远,unknown,ns形态确实太成功了,中国-湖北
木鱼E豆,unknown,这大黑边和lcd屏，是留着后面继续出oled版和续航版吗,中国-广东
苦来兮苦第一杀手,male,终于终于，老任终于憋不住了，性能无所谓了，我只是想要个换掉ns的理由,中国-吉林
Aurora3B,male,任天堂：我们从原理上解决了滑轨较松的问题😀☝️,中国-黑龙江
TheElderFrog,unknown,只求产能铺货上来了再发售，不想再品鉴加价了[藏狐],中国-北京
゚平泽唯,female,手柄真能当鼠标的话，会不会喷喷出四当护航作呀？[Mygo表情包_让我看看],中国-河南
电饭锅盖饭,unknown,代入感太强了，手柄金手指已经开始落灰接触不良松脱断裂了,中国-广东
冰蓝king,male,感觉手柄当鼠标用更多是为了适配桌游，比如文明7,中国-广东
肾虚了喝肾宝,male,以一个多年任豚的经验来看，先看别人买，看看咋样，自己再买[doge_金箍][doge_金箍][doge_金箍],中国-北京
桐谷柠檬,male,家里这个已经落了几层灰了[微笑]上次打开还是宝可梦朱紫,中国-北京
精神鼠鼠,male,最精彩的是，只要已公布第三方宣发就不用再遮遮掩掩了。接下什么新作品登录就能大致猜出性能水平,中国-广东
哈宝今天吃什么,male,等等，卡带兼容，账号兼不兼容啊,中国-广西
CyanideC,female,话说4月发的话溢价期至少得溢到明年去吧？[Mygo表情包_探头]那是不是四舍五入我switch还能玩一年[Mygo表情包_探头],中国-江苏
吾乃圣西罗之子,male,还是等oled出了再买，先攒钱买个好电脑等gta6,中国-四川
我真的喜欢喝苏打水,unknown,这一发肯定咸鱼switch价格大跌，继续用我的oled顶着，目前看来没有换新的必要,中国-四川
Linux10038,unknown,大的真来了，2代，就是这黑边还是宽了,中国-浙江
Lee-Rico,male,祖传大黑边和非全贴合的大反光塑料屏幕,中国-内蒙古
Ame今天不开心,unknown,NS1都有点大了说实话，NSlite我觉得刚好，这下更大了,中国-广东
阔一哥儿,unknown,个人感觉更像pro版[喜极而泣],中国-福建
YunZiAn,male,家里的已经吃灰一年多了，等2出了继续买来当景品..,中国-广东
仲夏夜月色,unknown,支持卡带知道了，支持数字版吗？除了奥德赛和动森，剩下的全是数字版[大哭][大哭][大哭],中国-辽宁
URY5,male,未来2077年 switch 5 pro mex正式发售😩,中国-贵州
你影依旧美,male,打算等lite了，太大了，oled感觉是我能把握的极限了已经，switch再撑两年,中国-浙江
abibos,unknown,终于可以在全新的高性能高续航的ns2掌机上玩到gta6了吗!,中国-四川
muyishouyi,unknown,里面有一段，joycon滑行的片段。。这下真能当鼠标玩FPS了。。,中国-上海
査理布朗,male,本来挺期待的，真的出预告以后反而冷静了，还是得等等看游戏阵容,中国-广东
大青呱W,unknown,[doge]有ps4的性能 神秘海域 美国末日 大表哥 底特律 老头环 这下真可以玩3a了,中国-广东
紫发大喷菇,female,不是，这玩意能当鼠标用啊，那我拆下来玩apex不是用上0.8辅瞄官方转换器了吗，还是60帧的apex，这我不得锁死世一猎😋,中国-江苏
不懂设计的米线君,male,首发阵容希望好一些，兼容荒野之息和王泪的话如果能有60帧1080那我可能会再玩一遍[doge]时之笛重制希望诚意足一点,海外-澳大利亚
almblmclm,unknown,我在想用ns2跑ns的游戏，是不是帧数大幅度提高？,中国-广西
Alex的健身日常,unknown,这种变化动画感觉像pro，但必须用「2」命名，才不会再犯wiiu的错误,中国-广东
起个名也有重复的,unknown,能插1的卡？那么mig switch是不是也能用在2上,中国-北京
三味真火牛德滑,unknown,感觉首发会有fps，有可能是银河战士，不然鼠标白做了,中国-安徽
ShengXiaChanMing,unknown,像素提高了吗[喜极而泣],中国-河南
阿萨猫,male,会不会来个NS1游戏运行于NS2的画质升级补丁[doge],中国-广东
饭少啦,unknown,LCD屏黑边太宽了，坐等OLED屏。,中国-广东
KenwoodZen,unknown,不求别的，希望NS2掌机模式全游戏720P稳定60帧我就满足了,中国-湖南
桂花糕吃多了胖,unknown,我刚买了第二台OLED[捂脸][捂脸][捂脸],中国-云南
weirdcore,unknown,细节switch2预告视频2:22秒,中国-上海
霜火毒刺,unknown,用雷总的命名方式，这应该叫SWITCH Ultra,中国-北京
asinGuan,male,优化了主机不坏只有手柄坏的问题,中国-广东
卡拉sk,male,这大边框竟然是2025年的产品 任天堂你真是要给oled版留空间,中国-辽宁
sunnnlk,unknown,又有活下去的希望了,中国-山东
逆转逆转再逆转,unknown,Apple化了，以后任天堂的主机有可能都是Switch 2345了,中国-安徽
小猫放屁香万里,female,我觉得这个视频动画做的是真的好啊，简洁清晰明确，一眼就能看出外观上的改动[星星眼],中国-河南
REACTOR_X,male,好好好，大黑边lcd至少不瞎眼，我看oled眼快瞎了,中国-广东
丨认蒸你就熟了丨,male,屏幕还是能停飞机的大黑边[偷笑],中国-广东
会碎的节操,male,等着看看护航作都哪些吧，目前看来不着急直接买，首发肯定溢价[思考],中国-天津
缘靓,female,Switch 2主机正式公布，主机可兼容游玩Switch游戏，预计2025年内发售。任天堂将于4月2日举行Switch 2专场直面会。,中国-陕西
喜欢蕾姆的2311,female,挺期待护航作品的。,中国-广西
坏掉的优乐美,unknown,也就是说加手柄侧面那个胶，是用来侧面放置当鼠标用的?正好右边的R和ZR可以担当左键右键，左摇杆当视角鼠标，可能会有类似鼠标垫的产品?,中国-陕西
星坠为雨,male,好家伙4月份才有直面会，今年怕是别想原价买了，OLED版又可以撑一年[笑哭],中国-江苏
小果冻虾,unknown,switch一代logo那个右手柄向下“咔”划一下的创意简直是太妙了，switch二代的logo就显得有点庸俗了[tv_笑哭] 不过无所谓，游戏机只是载体，快快把第一方独占搬上来吧[脱单doge],中国-河北
AlaughZ_,male,能做到野炊1080p60帧的话我打算再玩儿一次,中国-四川
永雏塔基,unknown,塞尔达能稳跑60帧吗[2233娘_卖萌],中国-湖北
huy12345,unknown,这手柄还是不管人机工程学啊。。。。。 还有switch的游戏呢。。。。。[笑哭],中国-上海
荒坂___Official,male,下半年机场工作 想买一个没事的时候玩玩 请问一下 价格和卡带 加起来大概多少 塞尔达两部必买 星之卡比和喷射战士也可以,中国-江苏
Ruiaytas,unknown,既然可以把手柄当鼠标用，那会不会出ns2专用蓝牙鼠标啊？,中国-江苏
君十一世,unknown,等等等等党，想想还有续航、联名、升级。。。[热],中国-广东
槿槿木-,male,手柄当鼠标用的话，打apex是不是就成转换器狗了[doge],中国-江苏
红墓市在逃橄榄批发商,unknown,真的跟前段时间爆出来的模型差不多 挺好 我对外观没什么太大的讲究 漂移和松动啥的到时候再说吧 我比较关心游戏阵容这块 za不用说2d马也出过了 新塞肯定没这么快 还有动森的城市系列也在路上 护航应该会是3d马 马车9也不错！！鼠标设计用来打FPS真的没问题吗[辣眼睛]感觉手感不怎么样,中国-四川
まっちゃー,unknown,这片我以为又是哪个同人大手子做的呢，底裤都漏光了现在0个人关心机器长啥样，新功能和新游戏呢,中国-浙江
耶格利兹特,male,给你升级下硬件 把cpu gpu升级下 这样还可以卖7年[呲牙],中国-辽宁
枘翎2014,unknown,我一纯爷们买任天堂的机子就三件事！ 卡比，Kirby和星之卡比,中国-浙江
壹只乌鸦,unknown,真全黑也是神人了，等马里奥40周年限定,海外-德国
穿着校服进网吧,unknown,太好了！是思维驰学习机二代！我们有救了！[星星眼],中国-江苏
AltezzaX,unknown,这个手柄接口明显是可以接别的外设的，肯定有一个第一方作品是接一个别的什么玩意上去[喜欢],中国-上海
薄凉____,male,比起这些我还是更关心首发游戏，还有后续游戏支不支持一代switch,中国-湖北
小可爱蕾姆,unknown,对塞尔达画质有提升就买，我的switch一直是塞尔达启动器[吃瓜],中国-江西
GuanHong00,male,机器怎么样无所谓，关键是游戏，快公布,中国-广东
AHS放映厅,female,什么叫实力，一个半小时近乎50w播放,中国-四川
模型简单说,male,我的NS套个黑色胶皮防护套，和他也差不多一模一样了[doge],中国-山西
thisar,unknown,反正都是接电视，手柄啥倒是无所谓，希望性能能有大加强吧,中国-湖北
格瑞莱特,male,switch2都公布了，那switch上的节奏天国什么时候端上来啊。[星星眼],中国-四川
LeiYp,male,1的卡带应该兼容吧？,中国-广东
总成一梦livi,male,能不能出Switch2 pro 半代升级，真的想要性能高一点的掌机[藏狐],中国-江苏
黑心气,male,看爆料的性能终于可以1080P60帧玩塞尔达了[大哭][大哭][大哭],中国-山东
SeeYou是苦逼,unknown,这好像是任天堂历史上第一次直接用XX2的方式命名新主机吧,中国-安徽
HR_吴彦祖,male,怎么办本来想年前买台oled的。。,中国-湖南
可可小受受,unknown,老任的主机还是看游戏阵容，前几年吃了DQM3这坨后已经一年没买过游戏了,中国-广东
非洲煤炭搬运工,unknown,次时代主机（×） Switch Pro（✓）,中国-山东
玛雅凌云,unknown,正式命名就叫ns2吗，我还以为叫nsu[doge_金箍],中国-江苏
橙暮落,male,更大了 意义何在 ns作为一个掌机已经够大了,中国-湖南
-柴梗-,unknown,又变大了，ns我都嫌大还专门买了个lite方便携带,中国-云南
大模玩,unknown,我现在想入一台nsl（打算改全贴合，电池，霍尔遥杆），是应该等等，还是现在买呢，问问各位[妙啊],中国-广东
東城會直系天明組組長,male,这个造型和初代太像了 如果不是有个2很容易当成加强版,中国-黑龙江
很高兴认识你,male,看历代主机我只能说最不担心的就是任天堂的首发阵容和第一方游戏支持，希望到时候能备货足点 别溢价太多,中国-湖南
神代强丸,male,switch携带升级数据通讯交换可进化为switch2[doge],中国-天津
赤犬・萨卡斯基,male,有独占的主机就是好主机,中国-云南
SenkjM,male,看到WiiU了，家里的还在吃灰，来兼容Wii,中国-江苏
LaFin_,male,只求摇杆别再动不动漂移了，其他不进步都能接受[笑哭],中国-安徽
大家是真的黑暗,male,新手柄还真能当鼠标啊,中国-天津
仲夏滛夢,male,有看最新评论区习惯的同胞你好 当网上冲浪的时间太长时应该多分配一些时间干别的事情[爱心],中国-辽宁
sakuraxxxxxxxx,unknown,机器早被贴吧爆料完了，主要看游戏阵容...,中国-河南
盖亚巨力机甲,unknown,手柄结构居然改了,中国-广西
CircleSalt,unknown,部分网友总是想教一家刚做完史上最高销量主机的公司如何做主机,中国-江苏
呃啊皮卡皮卡,unknown,我指天发誓我是个忠诚任粉，但是看到这大黑边还是有点难绷……有没有懂的给我讲讲这大黑边到底是干嘛的,中国-江苏
每天的快乐从对线开始,unknown,Switch1发布2年后，才因为腾讯引进！终于有了中文系统[脱单doge] 并且国行switch1销量怎么也得有500万份！ 我相信switch2让腾讯继续代理！一定会蒸蒸日上的！ 突破1千万销量不是问题[打call],中国-黑龙江
染柒棠梨,unknown,比起外观，我还是更关心性能相较于1的提升[藏狐],中国-安徽
mediasweet,unknown,感觉在国内ns2公布比ps5公布火多了,中国-江西
赞颂太阳-正道的光,male,这设计感，，，让人感叹属于岩田聪的时代还是过去了,中国-四川
至仁至善的粽子,male,中二病晚期，之前每次滑插都感觉像是假面骑士插卡，扣上的那一下爽飞了，官方居然不保留[藏狐],中国-四川
侠客小八,male,除了大和画面更清晰了不知道还有哪些升级了[微笑],中国-北京
屿船,unknown,新主机继续沿用上一代的创意玩法没问题的，好的设计就应该保留，如果单纯是为了改变而改变，反而会把一些好的创意改成坏的创意,中国-福建
武灵潇,unknown,好耶！真叫NS2呀！嘛，不过也是吸取WIIU的教训了[Mygo表情包_忧郁] 乍一看有种老三→新三的半代升级的错觉（雾）,中国-天津
海棠prpr,female,有懂哥知道s1的数字版在s2上能玩吗？,中国-山东
材干部,unknown,那个switch1的收纳包支持Switch2吗？,中国-陕西
一只叫BeaNys的猫头嘤,male,我也不太懂 仅从观感来说片子好看捏 好直观 性能参数之外外观角度一个视频一个字儿没有就把跟上一代的区别讲的明明白白啦 这代外观我挺喜欢其实上一代从id角度我也挺喜欢的,中国-辽宁
瓜鸡锅巴,unknown,8年了呀，屏幕DPI上来，性能让画面清晰就行。,中国-广西
江浦w,male,应该还会有别的配色，参考上次switch发布前的预热就是用的灰色，红蓝发布会的时候才出,中国-陕西
sunshiness0,male,爆料哥们几乎都都说对了，连商标名称样式都对的上,中国-山东
Z赤赤h,male,这下任天堂是最新的主机了,中国-河南
-益-梦-Traumwelt,male,能以旧换新吗？(Ｔ▽Ｔ),中国-湖北
若零没有默柏,unknown,手柄能当鼠标用，比紫色细腻振动创新性还高，这不得稳拿下今年tga啊😆,中国-浙江
AGamer92,unknown,有健身环吗？缺衣架了主要是,未知
海豚小贤,male,很好，总算是不玩什么花里胡哨的名字了，老老实实叫NS2 就很好。 不过感觉主机模式4K30是没戏了。,中国-山东
ku2u,male,第三方大作像rdr2和刺客信条这种掌机能720P60hz和1080p30hz运行就满足了,中国-新疆
随义骑士,male,全面兼容，那必然得先玩玩荒野之息和王国之泪[星星眼],中国-天津
洋芋逗恶龙,unknown,首发护航第一方游戏估计是马里奥赛车9、密特罗德prime4（展示鼠标操控功能）、甚至可能有新3d马里奥。,中国-云南
神力恩泽,male,祖传大黑边+LCD[笑哭]，好的我们现在可以开始期待Switch2 OLED了,未知
甜鱼喜欢吃鱼,female,我在222.2万播放，1.2万弹幕的时候看了这个 Switch2的公布预告视频[来古-注意],中国-河南
Emelia-t,female,能不能有什么大提升 就像3ds到ns一样的 而不是单纯的把性能提升一点 画质变好一点 其实我买了ns就是单纯想玩他的独占 [笑哭],中国-重庆
广州张令尹,unknown,太好了，家里将会又多一款落灰摆件[doge],中国-广东
布斯胃坨,unknown,Switch2都公布了 switch2续航和oled 什么时候端上来啊[doge],中国-福建
鑫宝大叔,unknown,就这个马车9的截图 几乎可以肯定 性能不会有太大的提升 但同时也说明价格也不会太离谱。,中国-江苏
火龍不敬水龍敬,male,可以可以 等价格稳了买个经典色收藏 然后等OLED限定[吃瓜],中国-辽宁
威武之刺猬,male,NS有种龙珠超龟仙人还能跟吉连过两招的美,中国-广东
喵喵大蒜头,male,作为一个任天堂掌机老用户，我表示：“我们牢任终于能稳定60帧了！,中国-天津
真太无奈,male,牛逼疯了，确定兼容，这次我想买日版,中国-北京
Hyuga_Hinata_,female,这个屏幕与黑色调，简直就是ns deck[饿殍表情包2_杀！],中国-江苏
究极无敌战神,male,基本玩主机模式，等后面没啥溢价就买了，应该后面机型主机模式和现在一样不会提升吧，现在还在用非续航版[笑哭],中国-福建
MuteOutsider,unknown,比起新机器更想知道护航作到底是什么,中国-内蒙古
玄翼之箭_落辉,male,NS2！是真实存在的！！,中国-浙江
普通朋友梦_,male,什么时候有oled 色彩真的不一样,中国-江苏
王大爷吃虾不剥壳,unknown,马车的画面要是实机的话，说明机能强了好几倍了,中国-浙江
